lead_min,threshold_mm,station_dropout_csi_mean,station_dropout_csi_sd,no_station_dropout_csi_mean,no_station_dropout_csi_sd,delta_csi_station_dropout_minus_no_station_dropout,ci_low,ci_high,ci_excludes_zero,n_finite_common,bootstrap_valid_reps,bootstrap_reps
60,1.0,0.6247593662096281,0.00741353465927751,0.5761121443412288,0.016990288451361593,0.048647221868399315,0.043692429525165985,0.05375238217486983,True,4408654,50000,50000
60,5.0,0.5322964924964135,0.014585138967855316,0.47452231053748545,0.018942881622558444,0.057774181958928084,0.044078158763719726,0.07159192540823328,True,4408654,50000,50000
60,10.0,0.4411746257312866,0.018120909006088905,0.3716934162701265,0.030165158481364102,0.0694812094611601,0.04857933019537747,0.09016476383411924,True,4408654,50000,50000
60,20.0,0.32089336863674156,0.022849081588904932,0.25064839525429,0.03995763813368673,0.07024497338245156,0.044811821251540956,0.09471687656727211,True,4408654,50000,50000
90,1.0,0.5540404411877473,0.008805282854696995,0.5127669787569551,0.03271546004375268,0.04127346243079222,0.036845221599902736,0.04593364339808351,True,4408626,50000,50000
90,5.0,0.44012507904846093,0.009479802140187513,0.4145804385019382,0.010874120885341471,0.025544640546522723,0.017893711802013323,0.03260691279138536,True,4408626,50000,50000
90,10.0,0.32955759416731695,0.011392201144686464,0.29988502244082005,0.023992923538104654,0.0296725717264969,0.01817234568284114,0.04110137497265539,True,4408626,50000,50000
90,20.0,0.1788963405115143,0.02764010679710353,0.15579880649442243,0.029550218427965853,0.02309753401709186,0.010779161326105064,0.03498562899438821,True,4408626,50000,50000
120,1.0,0.4989350746461263,0.0056610748775145926,0.46635449486755726,0.031234218378355865,0.03258057977856904,0.028702183955007808,0.036636572326182025,True,4408597,50000,50000
120,5.0,0.36954840879740525,0.004460205194027233,0.3513385234182282,0.01492716605136865,0.01820988537917706,0.011852790185990232,0.024164011517044528,True,4408597,50000,50000
120,10.0,0.24214914625072637,0.013655275319346256,0.2171588502491677,0.021239859634089062,0.024990296001558665,0.01458874673274377,0.03550042667127636,True,4408597,50000,50000
120,20.0,0.08123277493853759,0.02656232665613909,0.0674503382802843,0.012991838256480993,0.013782436658253294,0.006184636215736071,0.020971756728863554,True,4408597,50000,50000
150,1.0,0.45527142695901973,0.0017028127403416486,0.43458248651473347,0.023781732286452365,0.020688940444286263,0.01726045874657854,0.024215275580672005,True,4408572,50000,50000
150,5.0,0.3140845615175318,0.010722996669967677,0.3008008654311958,0.016656104797397545,0.013283696086336005,0.006294588661615308,0.020301326758690993,True,4408572,50000,50000
150,10.0,0.17493515603027945,0.017773527979600627,0.15784985570398832,0.01141931070022797,0.01708530032629113,0.006492974956894721,0.027690886365192343,True,4408572,50000,50000
150,20.0,0.03185450952063359,0.011082439182422842,0.027594741161163866,0.005597749580971517,0.004259768359469722,-0.0011390557995403022,0.009487050054972733,False,4408572,50000,50000
180,1.0,0.4184516106918495,0.0011684041062262596,0.403284602791301,0.021334912353162695,0.01516700790054848,0.01177774324495308,0.018614011143140066,True,4408548,50000,50000
180,5.0,0.2678998554066794,0.013819624300332033,0.2595738438721161,0.016112527988843533,0.008326011534563305,0.00021445413337328333,0.016614987055749857,True,4408548,50000,50000
180,10.0,0.12668303548657503,0.016439003878754768,0.11661444764273037,0.005123518690384836,0.010068587843844665,0.0007150823705140026,0.019795195393034908,True,4408548,50000,50000
180,20.0,0.01299158240210658,0.006628387635715596,0.01259620870017871,0.00525036492937841,0.00039537370192787094,-0.005485659956120336,0.0051791722752362445,False,4408548,50000,50000
