contrast,left_route,right_route,lead_min,threshold_mm,allstation_csi,direct_r2p_csi,delta_csi,ci_low,ci_high,n_finite_common,bootstrap_reps,member_count,member_ids
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,60,1,0.6278688019197896,0.6247593662096281,0.0031094357101614,0.000430342612191,0.0058876687005222,4408654,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,60,5,0.5408626247423242,0.5322964924964135,0.0085661322459106,0.0034654611168738,0.0138987717124229,4408654,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,60,10,0.4503332393765131,0.4411746257312866,0.0091586136452265,0.0041667605686411,0.0143579170385817,4408654,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,60,20,0.3350572922539188,0.3208933686367415,0.0141639236171772,0.0050016684292106,0.0215455207608112,4408654,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,90,1,0.5518778948499713,0.5540404411877473,-0.002162546337776,-0.0049831414218799,0.0007751695758494,4408626,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,90,5,0.4390145314956973,0.4401250790484609,-0.0011105475527636,-0.0060763091060637,0.004237915510651,4408626,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,90,10,0.3333715417443695,0.3295575941673169,0.0038139475770525,-0.0014487809019381,0.0090768025918381,4408626,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,90,20,0.198058036995896,0.1788963405115143,0.0191616964843817,0.0070151028462659,0.0294939126441746,4408626,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,120,1,0.4963157473336528,0.4989350746461263,-0.0026193273124734,-0.0055496871199954,0.0005085175501253,4408597,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,120,5,0.370106541757228,0.3695484087974052,0.0005581329598228,-0.0052880474079173,0.0068653956843449,4408597,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,120,10,0.2515921076328784,0.2421491462507263,0.009442961382152,0.0037879013518713,0.0147721501416122,4408597,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,120,20,0.1063206214750343,0.0812327749385375,0.0250878465364967,0.0091680583146932,0.0390936258252422,4408597,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,150,1,0.4562961573639441,0.4552714269590197,0.0010247304049244,-0.0019802771510356,0.0041658264353359,4408572,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,150,5,0.3195034626845989,0.3140845615175318,0.0054189011670671,-0.0004880791393572,0.0116404320166605,4408572,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,150,10,0.1934986872350674,0.1749351560302794,0.018563531204788,0.0116946691986288,0.0248066045955167,4408572,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,150,20,0.0561245575507265,0.0318545095206335,0.0242700480300929,0.012285491174881,0.0340605791620777,4408572,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,180,1,0.4227341733634127,0.4184516106918495,0.0042825626715631,0.0014362029419475,0.0072095852800459,4408548,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,180,5,0.2764535583892297,0.2678998554066794,0.0085537029825503,0.0035162868772257,0.0135926444325993,4408548,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,180,10,0.1461180344405028,0.126683035486575,0.0194349989539278,0.011641108834641,0.0265912320344092,4408548,50000,3,"0,1,2"
allstation_minus_direct_r2p,allstation_r2p,direct_r2p,180,20,0.029925975949185,0.0129915824021065,0.0169343935470785,0.0077128270423575,0.0258211336037142,4408548,50000,3,"0,1,2"
