case_rank,event_label,lead_min,threshold_mm,route,route_label,member_count,csi_mean,csi_sd,csi_min,csi_max,finite_pair_count,n_issue_times
1,17 July 2025,60,1,direct_r2p,Direct R2P,3,0.7401841265400414,0.0059390901256539,0.7334914048606994,0.7448260177393677,17666,144
1,17 July 2025,60,1,exprecast_patch_cnn,exPreCast + CNN,3,0.7281310270783276,0.0095810593827191,0.7173096620006828,0.7355342563010294,17666,144
1,17 July 2025,60,1,pysteps_patch_cnn,pySTEPS + CNN,3,0.706665769206439,0.0091079582236532,0.6970443349753694,0.7151542445395181,17666,144
1,17 July 2025,60,5,direct_r2p,Direct R2P,3,0.5919569470272067,0.0066018383609189,0.5845491509208324,0.5972189488569408,17666,144
1,17 July 2025,60,5,exprecast_patch_cnn,exPreCast + CNN,3,0.5412385887499893,0.0038755292095333,0.536772543167768,0.5437176893683974,17666,144
1,17 July 2025,60,5,pysteps_patch_cnn,pySTEPS + CNN,3,0.5530727995452377,0.0041391249652012,0.5483944431792303,0.5562587904360057,17666,144
1,17 July 2025,60,10,direct_r2p,Direct R2P,3,0.5531002950770958,0.0209502731291014,0.5293843283582089,0.5690909090909091,17666,144
1,17 July 2025,60,10,exprecast_patch_cnn,exPreCast + CNN,3,0.4789721350968927,0.0106455721743204,0.4674897119341564,0.4885138302859821,17666,144
1,17 July 2025,60,10,pysteps_patch_cnn,pySTEPS + CNN,3,0.4665830267219087,0.0106534104830929,0.454308093994778,0.473420260782347,17666,144
1,17 July 2025,60,20,direct_r2p,Direct R2P,3,0.4949533219930923,0.0268161980621415,0.464,0.5111561866125761,17666,144
1,17 July 2025,60,20,exprecast_patch_cnn,exPreCast + CNN,3,0.2377744037544746,0.0366375029916829,0.2025641025641025,0.2756892230576441,17666,144
1,17 July 2025,60,20,pysteps_patch_cnn,pySTEPS + CNN,3,0.0407723700892513,0.0285064881768254,0.0079260237780713,0.0590551181102362,17666,144
1,17 July 2025,90,1,direct_r2p,Direct R2P,3,0.6657548656444469,0.0116640205036918,0.6522864538395168,0.6725171232876712,17666,144
1,17 July 2025,90,1,exprecast_patch_cnn,exPreCast + CNN,3,0.6717909476751159,0.0012899553846013,0.6709421112372305,0.6732753623188406,17666,144
1,17 July 2025,90,1,pysteps_patch_cnn,pySTEPS + CNN,3,0.6341308156141007,0.0040144780642483,0.6294971596886177,0.6365614798694232,17666,144
1,17 July 2025,90,5,direct_r2p,Direct R2P,3,0.506086465161727,0.0071654490344663,0.4981751824817518,0.5121402877697842,17666,144
1,17 July 2025,90,5,exprecast_patch_cnn,exPreCast + CNN,3,0.4723231020892595,0.0043165350636347,0.4694533762057878,0.4772872680742162,17666,144
1,17 July 2025,90,5,pysteps_patch_cnn,pySTEPS + CNN,3,0.4316402113836792,0.0002210945830143,0.4313945654614866,0.4318232537380049,17666,144
1,17 July 2025,90,10,direct_r2p,Direct R2P,3,0.458036423627974,0.0043424388563729,0.455459113750571,0.4630499786416061,17666,144
1,17 July 2025,90,10,exprecast_patch_cnn,exPreCast + CNN,3,0.4039969519487672,0.0016287888639123,0.4021276595744681,0.4051112162801704,17666,144
1,17 July 2025,90,10,pysteps_patch_cnn,pySTEPS + CNN,3,0.3152025276670755,0.0110301894615645,0.3088163662932294,0.3279390766301761,17666,144
1,17 July 2025,90,20,direct_r2p,Direct R2P,3,0.3060844785119035,0.0272873595472892,0.2751141552511416,0.326592517694641,17666,144
1,17 July 2025,90,20,exprecast_patch_cnn,exPreCast + CNN,3,0.1084520969524222,0.0143536125599541,0.0993710691823899,0.125,17666,144
1,17 July 2025,90,20,pysteps_patch_cnn,pySTEPS + CNN,3,0.0109048400161497,0.0074070890746531,0.0026420079260237,0.0169491525423728,17666,144
1,17 July 2025,120,1,direct_r2p,Direct R2P,3,0.6197479201420059,0.0099274756928522,0.6082874055929781,0.6256954982296409,17666,144
1,17 July 2025,120,1,exprecast_patch_cnn,exPreCast + CNN,3,0.6345183274455389,0.0010963691803481,0.6332962138084632,0.6354154857725881,17666,144
1,17 July 2025,120,1,pysteps_patch_cnn,pySTEPS + CNN,3,0.5804500672755507,0.0020684022518488,0.5782865583456426,0.5824080121924669,17666,144
1,17 July 2025,120,5,direct_r2p,Direct R2P,3,0.4462958840878117,0.011716283284199,0.435533894550288,0.4587765957446808,17666,144
1,17 July 2025,120,5,exprecast_patch_cnn,exPreCast + CNN,3,0.4136771146986694,0.0038312514132818,0.4094470561898365,0.4169139465875371,17666,144
1,17 July 2025,120,5,pysteps_patch_cnn,pySTEPS + CNN,3,0.3340900660335417,0.0066034950789526,0.3298945952007177,0.341701844034659,17666,144
1,17 July 2025,120,10,direct_r2p,Direct R2P,3,0.3542345825802183,0.0189892102426022,0.33271719038817,0.3686458778299872,17666,144
1,17 July 2025,120,10,exprecast_patch_cnn,exPreCast + CNN,3,0.3395339491360669,0.0020587968067625,0.3372365339578454,0.3412118607649334,17666,144
1,17 July 2025,120,10,pysteps_patch_cnn,pySTEPS + CNN,3,0.1815981228145207,0.0105766086893864,0.1747663551401869,0.1937809824245155,17666,144
1,17 July 2025,120,20,direct_r2p,Direct R2P,3,0.1353752375583018,0.05168209929844,0.0832313341493268,0.1865828092243186,17666,144
1,17 July 2025,120,20,exprecast_patch_cnn,exPreCast + CNN,3,0.0445239882531735,0.0098531620615967,0.0332056194125159,0.0511860174781523,17666,144
1,17 July 2025,120,20,pysteps_patch_cnn,pySTEPS + CNN,3,0.0013026565921846,0.0013003960424468,0,0.0026007802340702,17666,144
1,17 July 2025,150,1,direct_r2p,Direct R2P,3,0.5837743586776268,0.0129038596688577,0.5689406331184451,0.5924077878876822,17666,144
