case_rank,event_label,lead_min,threshold_mm,route,route_label,member,replicate_id,upstream_seed,downstream_seed,hit,miss,false_alarm,correct_negative,finite_pair_count,n_issue_times,csi
1,17 July 2025,60,1,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,6509,626,2203,8328,17666,144,0.6970443349753694
1,17 July 2025,60,5,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,2408,785,1198,13275,17666,144,0.5483944431792303
1,17 July 2025,60,10,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,911,793,226,15736,17666,144,0.472020725388601
1,17 July 2025,60,20,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,42,715,2,16907,17666,144,0.0553359683794466
1,17 July 2025,60,1,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,6344,791,1828,8703,17666,144,0.7077987281044293
1,17 July 2025,60,5,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,2373,820,1073,13400,17666,144,0.5562587904360057
1,17 July 2025,60,10,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,944,760,290,15672,17666,144,0.473420260782347
1,17 July 2025,60,20,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,45,712,5,16904,17666,144,0.0590551181102362
1,17 July 2025,60,1,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,6352,783,1747,8784,17666,144,0.7151542445395181
1,17 July 2025,60,5,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,2302,891,958,13515,17666,144,0.554565165020477
1,17 July 2025,60,10,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,870,834,211,15751,17666,144,0.454308093994778
1,17 July 2025,60,20,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,6,751,0,16909,17666,144,0.0079260237780713
1,17 July 2025,60,1,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,6205,930,1347,9184,17666,144,0.7315491629332704
1,17 July 2025,60,5,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,2518,675,1498,12975,17666,144,0.536772543167768
1,17 July 2025,60,10,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,1136,568,726,15236,17666,144,0.4674897119341564
1,17 July 2025,60,20,exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,185,572,30,16879,17666,144,0.2350698856416772
1,17 July 2025,60,1,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,6303,832,1652,8879,17666,144,0.7173096620006828
1,17 July 2025,60,5,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,2570,623,1538,12935,17666,144,0.5432255337138026
1,17 July 2025,60,10,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,1159,545,706,15256,17666,144,0.4809128630705394
1,17 July 2025,60,20,exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,220,537,41,16868,17666,144,0.2756892230576441
1,17 July 2025,60,1,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,6216,919,1316,9215,17666,144,0.7355342563010294
1,17 July 2025,60,5,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,2419,774,1256,13217,17666,144,0.5437176893683974
1,17 July 2025,60,10,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,1042,662,429,15533,17666,144,0.4885138302859821
1,17 July 2025,60,20,exprecast_patch_cnn,exPreCast + CNN,2,21042,6455,21042,158,599,23,16886,17666,144,0.2025641025641025
1,17 July 2025,60,1,direct_r2p,Direct R2P,0,0,,,6550,585,1659,8872,17666,144,0.7448260177393677
1,17 July 2025,60,5,direct_r2p,Direct R2P,0,0,,,2579,614,1148,13325,17666,144,0.594102741303847
1,17 July 2025,60,10,direct_r2p,Direct R2P,0,0,,,1277,427,573,15389,17666,144,0.5608256477821695
1,17 July 2025,60,20,direct_r2p,Direct R2P,0,0,,,499,258,222,16687,17666,144,0.5097037793667007
1,17 July 2025,60,1,direct_r2p,Direct R2P,1,1,,,6187,948,1300,9231,17666,144,0.7334914048606994
1,17 July 2025,60,5,direct_r2p,Direct R2P,1,1,,,2444,749,988,13485,17666,144,0.5845491509208324
1,17 July 2025,60,10,direct_r2p,Direct R2P,1,1,,,1135,569,440,15522,17666,144,0.5293843283582089
1,17 July 2025,60,20,direct_r2p,Direct R2P,1,1,,,406,351,118,16791,17666,144,0.464
1,17 July 2025,60,1,direct_r2p,Direct R2P,2,2,,,6476,659,1590,8941,17666,144,0.7422349570200573
1,17 July 2025,60,5,direct_r2p,Direct R2P,2,2,,,2534,659,1050,13423,17666,144,0.5972189488569408
1,17 July 2025,60,10,direct_r2p,Direct R2P,2,2,,,1252,452,496,15466,17666,144,0.5690909090909091
1,17 July 2025,60,20,direct_r2p,Direct R2P,2,2,,,504,253,229,16680,17666,144,0.5111561866125761
1,17 July 2025,90,1,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,5984,1151,2371,8160,17666,144,0.6294971596886177
1,17 July 2025,90,5,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,1935,1258,1288,13185,17666,144,0.4318232537380049
1,17 July 2025,90,10,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,634,1070,349,15613,17666,144,0.3088163662932294
1,17 July 2025,90,20,pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,10,747,5,16904,17666,144,0.0131233595800524
1,17 July 2025,90,1,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,5850,1285,2055,8476,17666,144,0.6365614798694232
1,17 July 2025,90,5,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,1921,1272,1260,13213,17666,144,0.4313945654614866
1,17 July 2025,90,10,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,689,1015,397,15565,17666,144,0.3279390766301761
1,17 July 2025,90,20,pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,13,744,10,16899,17666,144,0.0169491525423728
1,17 July 2025,90,1,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,5818,1317,2008,8523,17666,144,0.6363338072842611
1,17 July 2025,90,5,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,1871,1322,1141,13332,17666,144,0.4317028149515459
1,17 July 2025,90,10,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,635,1069,352,15610,17666,144,0.308852140077821
1,17 July 2025,90,20,pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,2,755,0,16909,17666,144,0.0026420079260237
