route,route_label,lead_min,threshold_mm,member_count,csi_mean,csi_sd,pod_mean,pod_sd,far_mean,far_sd,frequency_bias_mean,frequency_bias_sd
pysteps_patch_cnn,pySTEPS + CNN,60,1,3,0.5942388421388212,0.011388001440891,0.8061220149221988,0.0286104878249932,0.3051066885399918,0.0360737825782331,1.163633734037756,0.1031075142328073
pysteps_patch_cnn,pySTEPS + CNN,60,5,3,0.4804398565114036,0.0052968472128151,0.6029911971158133,0.0221249482770294,0.2962960756792333,0.0187484496494262,0.8578459474035101,0.0546042907626058
pysteps_patch_cnn,pySTEPS + CNN,60,10,3,0.2847281973393724,0.0133812462670869,0.3134951093267206,0.0193032390414096,0.2416915183954644,0.0200627260583978,0.4140245222491193,0.0356827793398606
pysteps_patch_cnn,pySTEPS + CNN,60,20,3,0.0161700390290588,0.010222891579853,0.0161934578430314,0.0102439176631989,0.0516619239197985,0.025289885134094,0.0172730216992335,0.0111195077188815
pysteps_patch_cnn,pySTEPS + CNN,70,1,3,0.566960202219228,0.0088642334094519,0.7792665946362892,0.0280462688974659,0.3231089801188795,0.0330103265898441,1.154465458030962,0.0990946381793135
pysteps_patch_cnn,pySTEPS + CNN,70,5,3,0.4372207607627973,0.0057904305226756,0.5556772870300776,0.0196448848394054,0.3269880412793831,0.0149797217931639,0.8263627909346853,0.0477256956512489
pysteps_patch_cnn,pySTEPS + CNN,70,10,3,0.2377459882392042,0.0108652776575278,0.2635748164767471,0.0161926850911759,0.2896376132535678,0.0209887664965533,0.3716911692350081,0.033580821273058
pysteps_patch_cnn,pySTEPS + CNN,70,20,3,0.0109120934827478,0.0077224405946425,0.0109395804095145,0.0077505868387824,0.1091688990942722,0.0606230606913575,0.0127028680413113,0.0093557356548646
pysteps_patch_cnn,pySTEPS + CNN,80,1,3,0.5405333545836337,0.0069444113438835,0.7525061750451608,0.0268114537175367,0.3412670940262739,0.0301682559666898,1.145231957666556,0.0942631977239855
pysteps_patch_cnn,pySTEPS + CNN,80,5,3,0.3978887324652076,0.0046062221829938,0.5098666191064626,0.01631801097367,0.3549948381787127,0.0139618997080158,0.7910960503798448,0.0424813744790231
pysteps_patch_cnn,pySTEPS + CNN,80,10,3,0.1992632287461994,0.0120603978800417,0.221999173407333,0.0167512527083928,0.337149810340088,0.0182467643145202,0.3354588573340418,0.0334259181014543
