model,lead_min,threshold_mm,csi
exPreCast,60,1,0.679180657838212
exPreCast,60,5,0.4974510468897623
exPreCast,60,10,0.3419999801168421
exPreCast,60,20,0.2132344300074646
exPreCast,90,1,0.57908172274153
exPreCast,90,5,0.412233727172223
exPreCast,90,10,0.2711894545059748
exPreCast,90,20,0.1524433542509456
exPreCast,120,1,0.5087428069774504
exPreCast,120,5,0.3341833472435715
exPreCast,120,10,0.2024319285532384
exPreCast,120,20,0.0966942345346606
exPreCast,150,1,0.4568717304893964
exPreCast,150,5,0.2759125236786645
exPreCast,150,10,0.1533214393750574
exPreCast,150,20,0.061482787582413
exPreCast,180,1,0.4125590890987106
exPreCast,180,5,0.2292760500884491
exPreCast,180,10,0.1174400412465588
exPreCast,180,20,0.0396764633094664
pySTEPS,60,1,0.613578760342233
pySTEPS,60,5,0.4698646788684104
pySTEPS,60,10,0.3479767327118227
pySTEPS,60,20,0.2426241981781222
pySTEPS,90,1,0.4779333455850387
pySTEPS,90,5,0.3200200689026504
pySTEPS,90,10,0.2018843213289759
pySTEPS,90,20,0.1094574237410935
pySTEPS,120,1,0.3917872674440454
pySTEPS,120,5,0.2350502373157051
pySTEPS,120,10,0.1299043374063126
pySTEPS,120,20,0.056312155211139
pySTEPS,150,1,0.3304284189329926
pySTEPS,150,5,0.1809772232002142
pySTEPS,150,10,0.0907194648915433
pySTEPS,150,20,0.0331463791047498
pySTEPS,180,1,0.284015565615652
pySTEPS,180,5,0.144158385849702
pySTEPS,180,10,0.0676418784731911
pySTEPS,180,20,0.0216077416948426
