lead_min,threshold_mm,long_csi,pysteps_csi,delta_long_minus_pysteps,bootstrap_mean_delta,ci95_lower,ci95_upper,probability_delta_gt_zero,ci_excludes_zero
60,1,0.679180657838212,0.613578760342233,0.065601897495979,0.0655907993782914,0.0626882784698625,0.0683672637099,1,True
90,1,0.57908172274153,0.4779333455850387,0.1011483771564913,0.1010815231538184,0.0964172821075443,0.1054849949120371,1,True
120,1,0.5087428069774504,0.3917872674440454,0.116955539533405,0.1168420142151699,0.1107455299644957,0.1225835643444088,1,True
150,1,0.4568717304893964,0.3304284189329926,0.1264433115564038,0.1262873295874474,0.118842551025646,0.1332780160556291,1,True
180,1,0.4125590890987106,0.284015565615652,0.1285435234830585,0.1283528430992225,0.1196079893702354,0.1365926087894238,1,True
60,5,0.4974510468897623,0.4698646788684104,0.0275863680213518,0.0276230518575535,0.0212291959809355,0.0335967652015116,1,True
90,5,0.412233727172223,0.3200200689026504,0.0922136582695725,0.0921513241380325,0.0873498592012191,0.0969624573122086,1,True
120,5,0.3341833472435715,0.2350502373157051,0.0991331099278663,0.0990215876068803,0.0923247155949079,0.1057392640915123,1,True
150,5,0.2759125236786645,0.1809772232002142,0.0949353004784502,0.0947776045128461,0.0860146757378882,0.1036166289857287,1,True
180,5,0.2292760500884491,0.144158385849702,0.0851176642387471,0.0849216492543833,0.0743995203852303,0.0955283191947597,1,True
60,10,0.3419999801168421,0.3479767327118227,-0.0059767525949806,-0.0058972455189069,-0.0137522824802541,0.0015663241774442,0.06326,False
90,10,0.2711894545059748,0.2018843213289759,0.0693051331769989,0.0692596437412332,0.0635982783202268,0.074872446729131,1,True
120,10,0.2024319285532384,0.1299043374063126,0.0725275911469258,0.0724367622253028,0.0647020135581286,0.0800793337629536,1,True
150,10,0.1533214393750574,0.0907194648915433,0.062601974483514,0.0624978235272183,0.0537069373323404,0.0711157881686631,1,True
180,10,0.1174400412465588,0.0676418784731911,0.0497981627733677,0.0496864253787475,0.0401642551494774,0.0588639253514595,1,True
60,20,0.2132344300074646,0.2426241981781222,-0.0293897681706576,-0.0293208337107021,-0.0391257014595577,-0.0198897294024262,0,True
90,20,0.1524433542509456,0.1094574237410935,0.0429859305098521,0.04289720980177,0.0345788830188968,0.0513385797118059,1,True
120,20,0.0966942345346606,0.056312155211139,0.0403820793235216,0.0402500745023742,0.0317088154367936,0.0489131453281791,1,True
150,20,0.061482787582413,0.0331463791047498,0.0283364084776632,0.0282025310849243,0.0197756776143387,0.0365956289149536,1,True
180,20,0.0396764633094664,0.0216077416948426,0.0180687216146237,0.0179526946830512,0.010574811735582,0.0254405478935158,1,True
