model,lead_min,threshold_mm_h,csi
Public exPreCast,10,1,0.753274597249381
Public exPreCast,10,4,0.6500395869873755
Public exPreCast,10,8,0.542546237505646
Public exPreCast,10,10,0.5038462363210116
Public exPreCast,10,20,0.3893921807665447
Public exPreCast,10,40,0.2658311871261195
Public exPreCast,10,80,0.1193453718636808
Public exPreCast,20,1,0.6830852964220203
Public exPreCast,20,4,0.5648881841411151
Public exPreCast,20,8,0.4450984020458724
Public exPreCast,20,10,0.4028291377417806
Public exPreCast,20,20,0.2848662188392131
Public exPreCast,20,40,0.1783280896597762
Public exPreCast,20,80,0.0718911540516819
Public exPreCast,30,1,0.6348099161167133
Public exPreCast,30,4,0.5092527504524795
Public exPreCast,30,8,0.3833264733169772
Public exPreCast,30,10,0.338928197604676
Public exPreCast,30,20,0.2169141732368683
Public exPreCast,30,40,0.122315075979956
Public exPreCast,30,80,0.0456880409626442
Public exPreCast,40,1,0.5965968765124224
Public exPreCast,40,4,0.4663584530738522
Public exPreCast,40,8,0.3381853960417994
Public exPreCast,40,10,0.2932296901371257
Public exPreCast,40,20,0.1747603877440767
Public exPreCast,40,40,0.0937574481248293
Public exPreCast,40,80,0.034522808629402
Public exPreCast,50,1,0.5595513444722426
Public exPreCast,50,4,0.4155098821842325
Public exPreCast,50,8,0.2749926298625153
Public exPreCast,50,10,0.2279127850648382
Public exPreCast,50,20,0.1208014849780012
Public exPreCast,50,40,0.0625960372017792
Public exPreCast,50,80,0.024692657536832
Public exPreCast,60,1,0.5342715417134393
Public exPreCast,60,4,0.3936824241653575
Public exPreCast,60,8,0.2630135708216841
Public exPreCast,60,10,0.218811607323997
Public exPreCast,60,20,0.114916151383484
Public exPreCast,60,40,0.0592152553309209
Public exPreCast,60,80,0.0223378473349321
exPreCast,10,1,0.7063511719461797
exPreCast,10,4,0.5562994857170115
exPreCast,10,8,0.4211148262341542
exPreCast,10,10,0.3766688809725426
exPreCast,10,20,0.2772303223530994
exPreCast,10,40,0.1910741995546608
exPreCast,10,80,0.0733684583807711
exPreCast,20,1,0.6533170840777536
exPreCast,20,4,0.5047906075577225
exPreCast,20,8,0.3669319498342078
exPreCast,20,10,0.3201005175910331
exPreCast,20,20,0.2168558630887529
exPreCast,20,40,0.1528195580263655
exPreCast,20,80,0.068431436736355
exPreCast,30,1,0.6166354021024771
exPreCast,30,4,0.4712489208399973
exPreCast,30,8,0.3360801248701318
exPreCast,30,10,0.2895887708099356
exPreCast,30,20,0.1850420022339679
exPreCast,30,40,0.1239378938150165
exPreCast,30,80,0.0556107849590929
exPreCast,40,1,0.5882918720560023
exPreCast,40,4,0.4484656005943581
exPreCast,40,8,0.3194373935253421
exPreCast,40,10,0.2744814835754476
exPreCast,40,20,0.1696524822670663
exPreCast,40,40,0.1069449355145717
exPreCast,40,80,0.0463235082260062
exPreCast,50,1,0.5618059339202248
exPreCast,50,4,0.4245237524667551
exPreCast,50,8,0.2992620828375593
exPreCast,50,10,0.2551232618630025
exPreCast,50,20,0.1484633743761884
exPreCast,50,40,0.0852178663788898
exPreCast,50,80,0.033160751798628
exPreCast,60,1,0.5372646469477914
exPreCast,60,4,0.3986858363499875
exPreCast,60,8,0.2752851163953492
exPreCast,60,10,0.2319642829949461
exPreCast,60,20,0.1248230743098857
exPreCast,60,40,0.0630983202910147
exPreCast,60,80,0.0215229654859473
exPreCast,70,1,0.5164995482469609
exPreCast,70,4,0.3754290477910055
exPreCast,70,8,0.2537238127867747
exPreCast,70,10,0.211383088262032
exPreCast,70,20,0.1072548050558869
exPreCast,70,40,0.0488426387393733
exPreCast,70,80,0.0138374762963546
exPreCast,80,1,0.4971780158986705
exPreCast,80,4,0.3554838107244622
exPreCast,80,8,0.2357113863260267
exPreCast,80,10,0.1943200423808159
exPreCast,80,20,0.0937129659955424
exPreCast,80,40,0.0383039800680646
exPreCast,80,80,0.0082233810012904
exPreCast,90,1,0.4802553678400025
exPreCast,90,4,0.3360881415578795
exPreCast,90,8,0.2183637028860195
exPreCast,90,10,0.1780059793860047
exPreCast,90,20,0.0813246169116755
exPreCast,90,40,0.028856154631749
exPreCast,90,80,0.005081610523257
exPreCast,100,1,0.4647393192402422
exPreCast,100,4,0.3175979736333035
exPreCast,100,8,0.2017357456815793
exPreCast,100,10,0.1624436243615769
exPreCast,100,20,0.06929829250925
exPreCast,100,40,0.0208331256765458
exPreCast,100,80,0.0028149190710767
exPreCast,110,1,0.4493605861076759
exPreCast,110,4,0.3007350546604787
exPreCast,110,8,0.186753312093763
exPreCast,110,10,0.1486370418657092
exPreCast,110,20,0.0593608919862316
exPreCast,110,40,0.0145623246149113
exPreCast,110,80,0.0013523024728946
exPreCast,120,1,0.4357925859427231
exPreCast,120,4,0.2874584797917365
exPreCast,120,8,0.1761602776565199
exPreCast,120,10,0.1391107575170719
exPreCast,120,20,0.0535857865973828
exPreCast,120,40,0.0119389077816831
exPreCast,120,80,0.0007409277066251
exPreCast,130,1,0.4227620199544394
exPreCast,130,4,0.2729471974181394
exPreCast,130,8,0.1642072834292871
exPreCast,130,10,0.1283883405332683
exPreCast,130,20,0.0466880531613052
exPreCast,130,40,0.0088396293298289
exPreCast,130,80,0.0004016131461369
exPreCast,140,1,0.4102638835495948
exPreCast,140,4,0.2593126069143374
exPreCast,140,8,0.1532044461888147
exPreCast,140,10,0.1186539881120758
exPreCast,140,20,0.0409094451722772
exPreCast,140,40,0.0064511779972361
exPreCast,140,80,0.0002812747713577
exPreCast,150,1,0.3974194818856276
exPreCast,150,4,0.2475039421941388
exPreCast,150,8,0.1438159024345765
exPreCast,150,10,0.1102292330515633
exPreCast,150,20,0.0360558861350795
exPreCast,150,40,0.0046353835814437
exPreCast,150,80,0.0002252583973731
exPreCast,160,1,0.3853983645485916
exPreCast,160,4,0.2322279907048959
exPreCast,160,8,0.130640937671603
exPreCast,160,10,0.0983163443510834
exPreCast,160,20,0.0287896840193291
exPreCast,160,40,0.0024218464263027
exPreCast,160,80,0.0001137148905275
exPreCast,170,1,0.3728904552272178
exPreCast,170,4,0.2203754790913067
exPreCast,170,8,0.1211194078375354
exPreCast,170,10,0.0899299972638939
exPreCast,170,20,0.0243483367031892
exPreCast,170,40,0.001583558405036
exPreCast,170,80,0.0001056068433234
exPreCast,180,1,0.359248137422587
exPreCast,180,4,0.2065883932878602
exPreCast,180,8,0.1090520820991829
exPreCast,180,10,0.0790494186321325
exPreCast,180,20,0.0187127430397135
exPreCast,180,40,0.0008464049635783
exPreCast,180,80,0
pySTEPS,10,1,0.7213133701410439
pySTEPS,10,4,0.6230964798715671
pySTEPS,10,8,0.5190212212329495
pySTEPS,10,10,0.483209084691936
pySTEPS,10,20,0.3869919036368941
pySTEPS,10,40,0.2947387938918343
pySTEPS,10,80,0.194746120530176
pySTEPS,20,1,0.6141158459401542
pySTEPS,20,4,0.4988022754159493
pySTEPS,20,8,0.3849761370295079
pySTEPS,20,10,0.3472913984863144
pySTEPS,20,20,0.2525482055294139
pySTEPS,20,40,0.1745988587986774
pySTEPS,20,80,0.0977621359547485
pySTEPS,30,1,0.5441238599312652
pySTEPS,30,4,0.4220839000416753
pySTEPS,30,8,0.3068203940442492
pySTEPS,30,10,0.2696902432251483
pySTEPS,30,20,0.1791059047698523
pySTEPS,30,40,0.1125617993488985
pySTEPS,30,80,0.0551987102387593
pySTEPS,40,1,0.4929695900366263
pySTEPS,40,4,0.3678498546574949
pySTEPS,40,8,0.2543749515408289
pySTEPS,40,10,0.218419541353603
pySTEPS,40,20,0.133534168952965
pySTEPS,40,40,0.0766822479188438
pySTEPS,40,80,0.0336524896070427
pySTEPS,50,1,0.4526611782533057
pySTEPS,50,4,0.3266615145043753
pySTEPS,50,8,0.2166251527397732
pySTEPS,50,10,0.1821798672101685
pySTEPS,50,20,0.1031960306749336
pySTEPS,50,40,0.0547235052549796
pySTEPS,50,80,0.0217016686915772
pySTEPS,60,1,0.4193729132212063
pySTEPS,60,4,0.2937530118291282
pySTEPS,60,8,0.1878432241606271
pySTEPS,60,10,0.1551660550545702
pySTEPS,60,20,0.0818669339092651
pySTEPS,60,40,0.0404348700277703
pySTEPS,60,80,0.0149137396662513
pySTEPS,70,1,0.3910211507321839
pySTEPS,70,4,0.2666156431369016
pySTEPS,70,8,0.1653254164250554
pySTEPS,70,10,0.134216458846195
pySTEPS,70,20,0.0667216891373032
pySTEPS,70,40,0.0310212501200512
pySTEPS,70,80,0.0107727849303568
pySTEPS,80,1,0.3663965403863209
pySTEPS,80,4,0.2436945017460447
pySTEPS,80,8,0.1470945536721519
pySTEPS,80,10,0.1176647313856245
pySTEPS,80,20,0.0553592196669592
pySTEPS,80,40,0.0241425685961706
pySTEPS,80,80,0.0085549118788962
pySTEPS,90,1,0.3446773164272397
pySTEPS,90,4,0.2241016555672652
pySTEPS,90,8,0.1320410027049791
pySTEPS,90,10,0.1042314262837051
pySTEPS,90,20,0.0467422158964755
pySTEPS,90,40,0.0195877404372419
pySTEPS,90,80,0.0065818824061455
pySTEPS,100,1,0.3253261268955338
pySTEPS,100,4,0.2071869122307943
pySTEPS,100,8,0.1194658461928489
pySTEPS,100,10,0.0931797074386843
pySTEPS,100,20,0.0398899638761194
pySTEPS,100,40,0.0160817737974913
pySTEPS,100,80,0.0052353782056764
pySTEPS,110,1,0.3078908357321918
pySTEPS,110,4,0.1923688977917974
pySTEPS,110,8,0.1087652150713441
pySTEPS,110,10,0.0839814044206702
pySTEPS,110,20,0.034646013688968
pySTEPS,110,40,0.0133895257287314
