model,lead_min,csi_m
Public exPreCast,10,0.4606107711171084
Public exPreCast,20,0.3758552118430657
Public exPreCast,30,0.3216049468100449
Public exPreCast,40,0.285344437180501
Public exPreCast,50,0.2408652601857773
Public exPreCast,60,0.2294640568676878
exPreCast,10,0.371729620736917
exPreCast,20,0.3261781452731701
exPreCast,30,0.2968776999472313
exPreCast,40,0.2790853251083992
exPreCast,50,0.2582224319487498
exPreCast,60,0.2360920346821317
exPreCast,70,0.2181386310254839
exPreCast,80,0.2032762260564104
exPreCast,90,0.1897107962480839
exPreCast,100,0.1770661428819391
exPreCast,110,0.1658230734002377
exPreCast,120,0.1578268175705346
exPreCast,130,0.1491763052817722
exPreCast,140,0.1412966889579563
exPreCast,150,0.1342692982399718
exPreCast,160,0.1254155546589047
exPreCast,170,0.1186218344816432
exPreCast,180,0.1104995970635792
pySTEPS,10,0.4604452819994858
pySTEPS,20,0.3385849795935379
pySTEPS,30,0.2699406873714069
pySTEPS,40,0.2253546920096292
pySTEPS,50,0.1939641310470162
pySTEPS,60,0.1704786782669741
pySTEPS,70,0.152242056189721
pySTEPS,80,0.1375581467617383
pySTEPS,90,0.125423319960436
pySTEPS,100,0.1151951012338784
pySTEPS,110,0.1064181815320543
pySTEPS,120,0.0988883771720745
pySTEPS,130,0.092233630848855
pySTEPS,140,0.0863861574906833
pySTEPS,150,0.0811491875205019
pySTEPS,160,0.0764438099474986
pySTEPS,170,0.07214465224965
pySTEPS,180,0.0681439439223415
