route,threshold_mm,csi_mean,csi_sd
fixed_mp,1,0.6489863823561086,0
fixed_mp,5,0.5080693851012447,0
fixed_mp,10,0.3543557802418792,0
fixed_mp,20,0.2305996009660821,0
center_mlp,1,0.6107855626377914,0.0017207510918189
center_mlp,5,0.5187684346875182,0.0018643238752008
center_mlp,10,0.4384060995426086,0.0016431758280219
center_mlp,20,0.4133881813930299,0.0161455580899475
patch_cnn,1,0.682479659957021,0.0024482807165456
patch_cnn,5,0.6198010987143289,0.0049148011919237
patch_cnn,10,0.5662745017562331,0.003963589904833
patch_cnn,20,0.5275509606969044,0.0081120925242205
