route,threshold_mm,frequency_bias_mean,frequency_bias_sd,n_members
fixed_mp,1,0.888857694630901,0,1
fixed_mp,5,0.6546747009439852,0,1
fixed_mp,10,0.4314813721438271,0,1
fixed_mp,20,0.2651408830832343,0,1
center_mlp,1,0.874040422086669,0.0189144485385032,3
center_mlp,5,0.9180180983562004,0.0436596474235116,3
center_mlp,10,0.8766605656255534,0.0824037720536728,3
center_mlp,20,0.6302133937889093,0.086260079538996,3
patch_cnn,1,0.9395270950489042,0.1170444834099956,3
patch_cnn,5,1.00670938592133,0.1426783043008234,3
patch_cnn,10,0.9824939481608314,0.15888013256389,3
patch_cnn,20,0.8768577494692146,0.0958857734676191,3
