route,threshold_mm,csi_mean,csi_sd,frequency_bias_mean,frequency_bias_sd,n_members
fixed_mp,1,0.6489863823561086,0,0.888857694630901,0,1
fixed_mp,5,0.5080693851012447,0,0.6546747009439852,0,1
fixed_mp,10,0.3543557802418792,0,0.4314813721438271,0,1
fixed_mp,20,0.2305996009660821,0,0.2651408830832343,0,1
center_mlp,1,0.6107855626377914,0.0017207510918189,0.874040422086669,0.0189144485385032,3
center_mlp,5,0.5187684346875182,0.0018643238752008,0.9180180983562004,0.0436596474235116,3
center_mlp,10,0.4384060995426086,0.0016431758280219,0.8766605656255534,0.0824037720536728,3
center_mlp,20,0.4133881813930299,0.0161455580899475,0.6302133937889093,0.086260079538996,3
patch_cnn,1,0.682479659957021,0.0024482807165456,0.9395270950489042,0.1170444834099956,3
patch_cnn,5,0.6198010987143289,0.0049148011919237,1.00670938592133,0.1426783043008234,3
patch_cnn,10,0.5662745017562331,0.003963589904833,0.9824939481608314,0.15888013256389,3
patch_cnn,20,0.5275509606969044,0.0081120925242205,0.8768577494692146,0.0958857734676191,3
