contrast,left_route,right_route,lead_min,threshold_mm,left_csi_mean,right_csi_mean,delta_csi,ci_low_pointwise_95,ci_high_pointwise_95,bootstrap_fraction_delta_gt_zero,bootstrap_valid_resamples
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,60,1,0.5845774769952642,0.5942388421388212,-0.0096613651435569,-0.0198711219728803,-4.553470170956806e-05,0.02422,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,60,5,0.4769454573912604,0.4804398565114036,-0.0034943991201432,-0.0119345305490548,0.0057689139200453,0.22596,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,60,10,0.3793618296498215,0.2847281973393724,0.0946336323104491,0.0784544191928707,0.1123101506278654,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,60,20,0.1124334036319065,0.0161700390290588,0.0962633646028477,0.0744554675232497,0.1161287536326663,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,70,1,0.5716433573921276,0.566960202219228,0.0046831551728995,-0.0046680635677041,0.0134966160809785,0.8447,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,70,5,0.451861590289738,0.4372207607627973,0.0146408295269406,0.0065930701526346,0.0233381688071048,0.99984,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,70,10,0.3434863532652026,0.2377459882392042,0.1057403650259984,0.0892755626234312,0.1237050487567396,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,70,20,0.0845310360662583,0.0109120934827478,0.0736189425835105,0.0517831731389454,0.0950948229835245,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,80,1,0.5573846755715136,0.5405333545836337,0.0168513209878798,0.0084073463419952,0.0248013064187601,0.99992,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,80,5,0.4303537716382553,0.3978887324652076,0.0324650391730477,0.0252030805432651,0.0403200170409771,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,80,10,0.3043014192169285,0.1992632287461994,0.1050381904707291,0.0905391016371764,0.1208063823250187,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,80,20,0.0538311891983055,0.0065688273732336,0.0472623618250718,0.0286298281799861,0.0660718591719253,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,90,1,0.5423205648629632,0.5168827342788659,0.0254378305840973,0.0176459561383275,0.0328748428719811,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,90,5,0.4057034193533534,0.3638415873793413,0.0418618319740121,0.0350159286489018,0.0493488440121876,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,90,10,0.2608394968941048,0.1668811439955121,0.0939583528985927,0.0806383584747767,0.1077260286727238,1,50000
exprecast_minus_pysteps,exprecast_patch_cnn,pysteps_patch_cnn,90,20,0.0323034994866706,0.0036242465866406,0.0286792529000299,0.0155175909645997,0.0414342968839512,1,50000
