panel,contrast,left_route,right_route,lead_min,threshold_mm,left_csi,right_csi,delta_csi,ci_low,ci_high,n_finite_common,bootstrap_reps,member_count,member_ids
a,radar_only_minus_r2p,r2p_radar_only,r2p,60,1,0.6243972685671652,0.6247593662096281,-0.0003620976424629,-0.0009706131194774,0.0002889042177961,4408654,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,60,5,0.5331087192325707,0.5322964924964135,0.0008122267361572,-0.0003432763646538,0.0021061688780137,4408654,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,60,10,0.4425415353832083,0.4411746257312866,0.0013669096519217,0.0002567280114129,0.0025153129484833,4408654,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,60,20,0.3238421795053219,0.3208933686367415,0.0029488108685803,0.0015540416748432,0.0047601788030345,4408654,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,90,1,0.5537273123749535,0.5540404411877473,-0.0003131288127937,-0.0007865254505461,0.0002014203872094,4408626,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,90,5,0.4403972536401567,0.4401250790484609,0.0002721745916958,-0.0003618996081656,0.0009281625149133,4408626,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,90,10,0.3306801824810161,0.3295575941673169,0.0011225883136992,0.0001425045363302,0.0021907530774105,4408626,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,90,20,0.1792624460704581,0.1788963405115143,0.0003661055589438,-0.0005946530751226,0.0013825595347859,4408626,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,120,1,0.4989126812771974,0.4989350746461263,-2.239336892889688e-05,-0.0003958475856979,0.0003685999392181,4408597,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,120,5,0.3700542603522603,0.3695484087974052,0.000505851554855,-8.439328580820138e-05,0.0011482653696783,4408597,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,120,10,0.2428948000500071,0.2421491462507263,0.0007456537992807,-0.000151369011741,0.001778507821805,4408597,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,120,20,0.0811046834905562,0.0812327749385375,-0.0001280914479813,-0.0008225513042424,0.0006588901349455,4408597,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,150,1,0.4551614002383147,0.4552714269590197,-0.000110026720705,-0.0004276743365368,0.0002240995408643,4408572,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,150,5,0.3145802291647793,0.3140845615175318,0.0004956676472475,-0.0001018544276428,0.0011616918484283,4408572,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,150,10,0.1755539531140402,0.1749351560302794,0.0006187970837607,-0.000181863925045,0.0015079960959789,4408572,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,150,20,0.0324129814469797,0.0318545095206335,0.0005584719263461,-0.0001716608960292,0.0013555267151011,4408572,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,180,1,0.4185137923963975,0.4184516106918495,6.218170454802552e-05,-0.0002320583552985,0.0003715978099551,4408548,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,180,5,0.2684655767653266,0.2678998554066794,0.0005657213586472,-0.0001310738051349,0.0014186799088299,4408548,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,180,10,0.1282241411524953,0.126683035486575,0.0015411056659203,0.0009037071723402,0.0022355618243815,4408548,50000,3,"0,1,2"
a,radar_only_minus_r2p,r2p_radar_only,r2p,180,20,0.0133302723863514,0.0129915824021065,0.0003386899842448,-3.035452724070115e-05,0.000726237055089,4408548,50000,3,"0,1,2"
