metric_group,metric,contrast,left_route,right_route,lead_min,threshold_mm,left_point,right_point,delta,ci_low,ci_high,ci_excludes_zero,bootstrap_valid_reps,bootstrap_reps,member_count,member_ids
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,60,1,0.6247593662096281,0.5761121443412288,0.0486472218683993,0.0436924295251659,0.0537523821748698,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,60,5,0.5322964924964135,0.4745223105374854,0.057774181958928,0.0440781587637197,0.0715919254082332,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,60,10,0.4411746257312866,0.3716934162701265,0.0694812094611601,0.0485793301953774,0.0901647638341192,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,60,20,0.3208933686367415,0.25064839525429,0.0702449733824515,0.0448118212515409,0.0947168765672721,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,90,1,0.5540404411877473,0.5127669787569551,0.0412734624307922,0.0368452215999027,0.0459336433980835,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,90,5,0.4401250790484609,0.4145804385019382,0.0255446405465227,0.0178937118020133,0.0326069127913853,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,90,10,0.3295575941673169,0.29988502244082,0.0296725717264969,0.0181723456828411,0.0411013749726553,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,90,20,0.1788963405115143,0.1557988064944224,0.0230975340170918,0.010779161326105,0.0349856289943882,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,120,1,0.4989350746461263,0.4663544948675572,0.032580579778569,0.0287021839550078,0.036636572326182,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,120,5,0.3695484087974052,0.3513385234182282,0.018209885379177,0.0118527901859902,0.0241640115170445,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,120,10,0.2421491462507263,0.2171588502491677,0.0249902960015586,0.0145887467327437,0.0355004266712763,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,120,20,0.0812327749385375,0.0674503382802843,0.0137824366582532,0.006184636215736,0.0209717567288635,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,150,1,0.4552714269590197,0.4345824865147334,0.0206889404442862,0.0172604587465785,0.024215275580672,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,150,5,0.3140845615175318,0.3008008654311958,0.013283696086336,0.0062945886616153,0.0203013267586909,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,150,10,0.1749351560302794,0.1578498557039883,0.0170853003262911,0.0064929749568947,0.0276908863651923,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,150,20,0.0318545095206335,0.0275947411611638,0.0042597683594697,-0.0011390557995403,0.0094870500549727,False,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,180,1,0.4184516106918495,0.403284602791301,0.0151670079005484,0.011777743244953,0.01861401114314,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,180,5,0.2678998554066794,0.2595738438721161,0.0083260115345633,0.0002144541333732,0.0166149870557498,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,180,10,0.126683035486575,0.1166144476427303,0.0100685878438446,0.000715082370514,0.0197951953930349,True,50000,50000,3,"0,1,2"
categorical,csi,r2p_minus_no_dropout,r2p,r2p_no_dropout,180,20,0.0129915824021065,0.0125962087001787,0.0003953737019278,-0.0054856599561203,0.0051791722752362,False,50000,50000,3,"0,1,2"
