route,route_label,lead_min,gauge_bin,amount_bias_mm_mean,amount_bias_mm_sd,n_common_pairs
pysteps_patch_cnn,pySTEPS + CNN,60,"[1,5)",0.3535849555194799,0.1645572366244121,156589
pysteps_patch_cnn,pySTEPS + CNN,60,"[5,10)",-1.720723069465984,0.1773698094439364,44623
pysteps_patch_cnn,pySTEPS + CNN,60,"[10,20)",-6.259774025685883,0.2005361617577901,24611
pysteps_patch_cnn,pySTEPS + CNN,60,>=20,-20.69273071532037,0.3260016722122408,9263
pysteps_patch_cnn,pySTEPS + CNN,70,"[1,5)",0.3169778969437658,0.146490226428642,156589
pysteps_patch_cnn,pySTEPS + CNN,70,"[5,10)",-1.975529910934486,0.1534994115794423,44623
pysteps_patch_cnn,pySTEPS + CNN,70,"[10,20)",-6.773943953116073,0.1731658990022428,24611
pysteps_patch_cnn,pySTEPS + CNN,70,>=20,-21.65801511151805,0.284135476226447,9263
pysteps_patch_cnn,pySTEPS + CNN,80,"[1,5)",0.2683503303019353,0.1293694544686648,156589
pysteps_patch_cnn,pySTEPS + CNN,80,"[5,10)",-2.223010719043767,0.1319504157757656,44623
pysteps_patch_cnn,pySTEPS + CNN,80,"[10,20)",-7.253100964335648,0.1516962785028316,24611
pysteps_patch_cnn,pySTEPS + CNN,80,>=20,-22.58962654665061,0.2281883051956816,9263
pysteps_patch_cnn,pySTEPS + CNN,90,"[1,5)",0.2175116450176946,0.113350124001027,156589
pysteps_patch_cnn,pySTEPS + CNN,90,"[5,10)",-2.454389477331078,0.1088100603349336,44623
pysteps_patch_cnn,pySTEPS + CNN,90,"[10,20)",-7.681100004399035,0.1312997675079532,24611
pysteps_patch_cnn,pySTEPS + CNN,90,>=20,-23.42350330350724,0.1914138367130222,9263
pysteps_patch_cnn,pySTEPS + CNN,100,"[1,5)",0.1656505841295641,0.0970554807990625,156589
pysteps_patch_cnn,pySTEPS + CNN,100,"[5,10)",-2.671977989737854,0.0949603539394954,44623
pysteps_patch_cnn,pySTEPS + CNN,100,"[10,20)",-8.078316725220857,0.1161724851550814,24611
pysteps_patch_cnn,pySTEPS + CNN,100,>=20,-24.18004499660073,0.167227931259999,9263
pysteps_patch_cnn,pySTEPS + CNN,110,"[1,5)",0.1140729294570583,0.0833293484842858,156589
pysteps_patch_cnn,pySTEPS + CNN,110,"[5,10)",-2.872149176141984,0.0844326549599956,44623
pysteps_patch_cnn,pySTEPS + CNN,110,"[10,20)",-8.435155860922372,0.1100112726688021,24611
pysteps_patch_cnn,pySTEPS + CNN,110,>=20,-24.84492586715091,0.1520386549876458,9263
pysteps_patch_cnn,pySTEPS + CNN,120,"[1,5)",0.0666624189049189,0.0703260181599738,156589
pysteps_patch_cnn,pySTEPS + CNN,120,"[5,10)",-3.055046427146523,0.0768083689892334,44623
pysteps_patch_cnn,pySTEPS + CNN,120,"[10,20)",-8.766387826729604,0.1047588100916205,24611
pysteps_patch_cnn,pySTEPS + CNN,120,>=20,-25.43678342369025,0.1278996344127531,9263
pysteps_patch_cnn,pySTEPS + CNN,130,"[1,5)",0.0216438105484424,0.0597724759487695,156589
pysteps_patch_cnn,pySTEPS + CNN,130,"[5,10)",-3.226536118130864,0.0760641954300897,44623
pysteps_patch_cnn,pySTEPS + CNN,130,"[10,20)",-9.07355658815213,0.1073420149862121,24611
pysteps_patch_cnn,pySTEPS + CNN,130,>=20,-25.95419338079024,0.1340319409619311,9263
pysteps_patch_cnn,pySTEPS + CNN,140,"[1,5)",-0.0242368496358051,0.0510616485773064,156589
pysteps_patch_cnn,pySTEPS + CNN,140,"[5,10)",-3.385405899555475,0.0782013205318967,44623
pysteps_patch_cnn,pySTEPS + CNN,140,"[10,20)",-9.344401193889274,0.1135796804814786,24611
pysteps_patch_cnn,pySTEPS + CNN,140,>=20,-26.40650772831337,0.1270751749113536,9263
pysteps_patch_cnn,pySTEPS + CNN,150,"[1,5)",-0.0704140697889608,0.0456339103000228,156589
pysteps_patch_cnn,pySTEPS + CNN,150,"[5,10)",-3.534276063488767,0.0831966682002677,44623
pysteps_patch_cnn,pySTEPS + CNN,150,"[10,20)",-9.59473813923278,0.1161608903189503,24611
pysteps_patch_cnn,pySTEPS + CNN,150,>=20,-26.80895370654441,0.1122686898776223,9263
pysteps_patch_cnn,pySTEPS + CNN,160,"[1,5)",-0.1177839429870702,0.0439547900555895,156589
pysteps_patch_cnn,pySTEPS + CNN,160,"[5,10)",-3.67102731049552,0.0892793717401934,44623
pysteps_patch_cnn,pySTEPS + CNN,160,"[10,20)",-9.823214856418332,0.1188985801254423,24611
pysteps_patch_cnn,pySTEPS + CNN,160,>=20,-27.15947282582413,0.1104634423484038,9263
pysteps_patch_cnn,pySTEPS + CNN,170,"[1,5)",-0.1636268522631881,0.0435179666690407,156589
pysteps_patch_cnn,pySTEPS + CNN,170,"[5,10)",-3.796885616097976,0.0957653041639308,44623
pysteps_patch_cnn,pySTEPS + CNN,170,"[10,20)",-10.02533939999344,0.1219020181262164,24611
pysteps_patch_cnn,pySTEPS + CNN,170,>=20,-27.46338337018296,0.1109417929193734,9263
pysteps_patch_cnn,pySTEPS + CNN,180,"[1,5)",-0.2065902524118921,0.046879750539132,156589
pysteps_patch_cnn,pySTEPS + CNN,180,"[5,10)",-3.91804920210895,0.102995558760558,44623
pysteps_patch_cnn,pySTEPS + CNN,180,"[10,20)",-10.21066123032972,0.1304615312485856,24611
pysteps_patch_cnn,pySTEPS + CNN,180,>=20,-27.73798867573326,0.1104962796684238,9263
exprecast_patch_cnn,exPreCast + CNN,60,"[1,5)",1.043312299896037,0.1826419340659489,156589
exprecast_patch_cnn,exPreCast + CNN,60,"[5,10)",-0.232751061704432,0.379717952106343,44623
exprecast_patch_cnn,exPreCast + CNN,60,"[10,20)",-4.26973848014942,0.4983859792035747,24611
exprecast_patch_cnn,exPreCast + CNN,60,>=20,-17.65029887438567,0.5736197846277932,9263
exprecast_patch_cnn,exPreCast + CNN,70,"[1,5)",0.913601400091337,0.1525110323930789,156589
exprecast_patch_cnn,exPreCast + CNN,70,"[5,10)",-0.6119094940574343,0.2939353928064928,44623
exprecast_patch_cnn,exPreCast + CNN,70,"[10,20)",-4.933637961813276,0.3542539267268629,24611
exprecast_patch_cnn,exPreCast + CNN,70,>=20,-18.78748937569267,0.4049226704008295,9263
exprecast_patch_cnn,exPreCast + CNN,80,"[1,5)",0.7327531918015424,0.1622729899279407,156589
exprecast_patch_cnn,exPreCast + CNN,80,"[5,10)",-1.138425602615229,0.3129659019024067,44623
exprecast_patch_cnn,exPreCast + CNN,80,"[10,20)",-5.759530333113308,0.3640120944671812,24611
exprecast_patch_cnn,exPreCast + CNN,80,>=20,-20.06584215066377,0.3970591569001634,9263
exprecast_patch_cnn,exPreCast + CNN,90,"[1,5)",0.5576948236973979,0.1549340667333946,156589
exprecast_patch_cnn,exPreCast + CNN,90,"[5,10)",-1.628760257115384,0.3066610601132883,44623
exprecast_patch_cnn,exPreCast + CNN,90,"[10,20)",-6.523587260399275,0.3650770964989671,24611
exprecast_patch_cnn,exPreCast + CNN,90,>=20,-21.27148369501501,0.40120887717211,9263
exprecast_patch_cnn,exPreCast + CNN,100,"[1,5)",0.4250593058627253,0.1426966103641228,156589
exprecast_patch_cnn,exPreCast + CNN,100,"[5,10)",-1.991061968291516,0.2869456230747368,44623
exprecast_patch_cnn,exPreCast + CNN,100,"[10,20)",-7.094776470035062,0.3479033778509993,24611
exprecast_patch_cnn,exPreCast + CNN,100,>=20,-22.25248003704361,0.389674728636774,9263
exprecast_patch_cnn,exPreCast + CNN,110,"[1,5)",0.3515828370760714,0.1297514002207229,156589
