route,route_label,lead_min,threshold_mm,frequency_bias_mean,frequency_bias_sd,n_observed_events
pysteps_patch_cnn,pySTEPS + CNN,60,1,1.163633734037756,0.1031075142328073,235086
pysteps_patch_cnn,pySTEPS + CNN,60,5,0.8578459474035101,0.0546042907626058,78497
pysteps_patch_cnn,pySTEPS + CNN,60,10,0.4140245222491193,0.0356827793398606,33874
pysteps_patch_cnn,pySTEPS + CNN,60,20,0.0172730216992335,0.0111195077188815,9263
pysteps_patch_cnn,pySTEPS + CNN,70,1,1.154465458030962,0.0990946381793135,235086
pysteps_patch_cnn,pySTEPS + CNN,70,5,0.8263627909346853,0.0477256956512489,78497
pysteps_patch_cnn,pySTEPS + CNN,70,10,0.3716911692350081,0.033580821273058,33874
pysteps_patch_cnn,pySTEPS + CNN,70,20,0.0127028680413113,0.0093557356548646,9263
pysteps_patch_cnn,pySTEPS + CNN,80,1,1.145231957666556,0.0942631977239855,235086
pysteps_patch_cnn,pySTEPS + CNN,80,5,0.7910960503798448,0.0424813744790231,78497
pysteps_patch_cnn,pySTEPS + CNN,80,10,0.3354588573340418,0.0334259181014543,33874
pysteps_patch_cnn,pySTEPS + CNN,80,20,0.0082766562308827,0.0064848757749253,9263
pysteps_patch_cnn,pySTEPS + CNN,90,1,1.13462874579232,0.0900255671494882,235086
pysteps_patch_cnn,pySTEPS + CNN,90,5,0.7602965718435098,0.0336397400857003,78497
pysteps_patch_cnn,pySTEPS + CNN,90,10,0.3037531243234733,0.0324616114398904,33874
pysteps_patch_cnn,pySTEPS + CNN,90,20,0.0054697902047572,0.004750489875392,9263
pysteps_patch_cnn,pySTEPS + CNN,100,1,1.123953219956385,0.0863165348942815,235086
pysteps_patch_cnn,pySTEPS + CNN,100,5,0.731148961106794,0.0251480225453644,78497
pysteps_patch_cnn,pySTEPS + CNN,100,10,0.2772923185924307,0.0336871438605323,33874
pysteps_patch_cnn,pySTEPS + CNN,100,20,0.0044262118104285,0.0044889610031937,9263
pysteps_patch_cnn,pySTEPS + CNN,110,1,1.112815451933902,0.0824855219403905,235086
pysteps_patch_cnn,pySTEPS + CNN,110,5,0.703109672981133,0.0205078176459963,78497
pysteps_patch_cnn,pySTEPS + CNN,110,10,0.2541575643069414,0.0343372456676936,33874
pysteps_patch_cnn,pySTEPS + CNN,110,20,0.0036705171110871,0.0038198868645048,9263
pysteps_patch_cnn,pySTEPS + CNN,120,1,1.102902767497852,0.0795131543493477,235086
pysteps_patch_cnn,pySTEPS + CNN,120,5,0.6780174189247147,0.0155524042462098,78497
pysteps_patch_cnn,pySTEPS + CNN,120,10,0.231721477632796,0.036465277523987,33874
pysteps_patch_cnn,pySTEPS + CNN,120,20,0.0026989096405052,0.0024403874674419,9263
pysteps_patch_cnn,pySTEPS + CNN,130,1,1.091969180073108,0.0761411527247569,235086
pysteps_patch_cnn,pySTEPS + CNN,130,5,0.6544751179450595,0.016344873210253,78497
pysteps_patch_cnn,pySTEPS + CNN,130,10,0.2139497352935388,0.0382656766573484,33874
pysteps_patch_cnn,pySTEPS + CNN,130,20,0.0023030695598978,0.0026801318768383,9263
pysteps_patch_cnn,pySTEPS + CNN,140,1,1.082375527821024,0.0724863132279347,235086
pysteps_patch_cnn,pySTEPS + CNN,140,5,0.6332131588892994,0.0192543712353658,78497
pysteps_patch_cnn,pySTEPS + CNN,140,10,0.1979099013993033,0.0414029179299117,33874
pysteps_patch_cnn,pySTEPS + CNN,140,20,0.0017992730936701,0.0017880828023757,9263
pysteps_patch_cnn,pySTEPS + CNN,150,1,1.07179500267987,0.0694312409236648,235086
pysteps_patch_cnn,pySTEPS + CNN,150,5,0.6141168876942218,0.0244940391726012,78497
pysteps_patch_cnn,pySTEPS + CNN,150,10,0.183808624116825,0.0413436570364944,33874
pysteps_patch_cnn,pySTEPS + CNN,150,20,0.0013314620893159,0.0011543427206697,9263
pysteps_patch_cnn,pySTEPS + CNN,160,1,1.063636286295228,0.0649727575179922,235086
pysteps_patch_cnn,pySTEPS + CNN,160,5,0.5932668339766701,0.0295101047242805,78497
pysteps_patch_cnn,pySTEPS + CNN,160,10,0.1715376591682903,0.0413731576646104,33874
pysteps_patch_cnn,pySTEPS + CNN,160,20,0.0006837237755946,0.0009053759131605,9263
pysteps_patch_cnn,pySTEPS + CNN,170,1,1.056651608347583,0.0623309568839662,235086
pysteps_patch_cnn,pySTEPS + CNN,170,5,0.5768203455758395,0.0353309667825298,78497
pysteps_patch_cnn,pySTEPS + CNN,170,10,0.1625238629430635,0.0417712338203016,33874
pysteps_patch_cnn,pySTEPS + CNN,170,20,0.0005037964662276,0.0007809757247187,9263
pysteps_patch_cnn,pySTEPS + CNN,180,1,1.049228792867291,0.0605656505932965,235086
pysteps_patch_cnn,pySTEPS + CNN,180,5,0.5613420470421375,0.0417956660242041,78497
pysteps_patch_cnn,pySTEPS + CNN,180,10,0.1538938418846313,0.0435181950694919,33874
pysteps_patch_cnn,pySTEPS + CNN,180,20,0.0006837237755946,0.000997258372777,9263
exprecast_patch_cnn,exPreCast + CNN,60,1,1.193361861900184,0.0394255117434232,235086
exprecast_patch_cnn,exPreCast + CNN,60,5,1.178826367037382,0.0817271769469334,78497
exprecast_patch_cnn,exPreCast + CNN,60,10,0.9352502410895278,0.1300874129240921,33874
exprecast_patch_cnn,exPreCast + CNN,60,20,0.1644535607614523,0.0492870658682868,9263
