Distance group,Distance to nearest fitting station (km),Stations,Lead (min),RN60 threshold (mm),All-station R2P CSI,Direct R2P CSI,ΔCSI (All-station − Direct),95% CI low,95% CI high,Common finite pairs
1,1.486–5.960,32,60,1,0.61802951141723,0.6101225715747539,0.007906939842476,0.0038654608540573,0.0122165743597493,1095514
1,1.486–5.960,32,60,5,0.5314996856540559,0.5112041064837661,0.0202955791702897,0.0104099232624763,0.031212833913569,1095514
1,1.486–5.960,32,60,10,0.44653939990118,0.4342217668134422,0.0123176330877378,0.0035709929068383,0.0217315481238834,1095514
1,1.486–5.960,32,60,20,0.3322705801069993,0.3114571239693474,0.0208134561376519,-0.0006087372001528,0.0391092682849414,1095514
1,1.486–5.960,32,90,1,0.5435377334932608,0.5399241325032863,0.0036136009899745,-0.0008818128936353,0.0082214043353257,1095508
1,1.486–5.960,32,90,5,0.430760801256876,0.4237610662378149,0.0069997350190611,-0.001218614639678,0.0158454674698526,1095508
1,1.486–5.960,32,90,10,0.3353631853529746,0.3296608431051041,0.0057023422478705,-0.0017721787838738,0.0130947162674487,1095508
1,1.486–5.960,32,90,20,0.1997645064894979,0.1781302527306557,0.0216342537588422,0.0028838978619816,0.0376882426373993,1095508
1,1.486–5.960,32,120,1,0.4893176752840311,0.4863307448147604,0.0029869304692707,-0.0020230131038925,0.008213733156836,1095502
1,1.486–5.960,32,120,5,0.3675074336911193,0.3608467764353338,0.0066606572557855,-0.0017935712184963,0.0159511869776321,1095502
1,1.486–5.960,32,120,10,0.2573637157513354,0.2482089149642297,0.0091548007871056,0.0014318079911358,0.0163007002088808,1095502
1,1.486–5.960,32,120,20,0.1184191805238782,0.0882861367114311,0.0301330438124471,0.0091138659090222,0.0488221552618972,1095502
1,1.486–5.960,32,150,1,0.4500384873319545,0.444426175903559,0.0056123114283954,0.0009437854884911,0.0104438798291152,1095496
1,1.486–5.960,32,150,5,0.3182180741213755,0.3080146188558753,0.0102034552655002,0.0013961427394572,0.0194332489771609,1095496
1,1.486–5.960,32,150,10,0.200867703661859,0.1748182947035294,0.0260494089583296,0.0158960417773277,0.0354500984472372,1095496
1,1.486–5.960,32,150,20,0.0643008973542828,0.0373387020307436,0.0269621953235391,0.0106135457312303,0.0423032569199737,1095496
1,1.486–5.960,32,180,1,0.4173361542216038,0.4084894724916048,0.0088466817299989,0.0045004787224427,0.0132831787004209,1095490
1,1.486–5.960,32,180,5,0.2740766443132069,0.2620961701071684,0.0119804742060385,0.0050413345134299,0.0184807439138742,1095490
1,1.486–5.960,32,180,10,0.1508136934635256,0.1261176475579875,0.0246960459055381,0.014022944410396,0.0344340165176599,1095490
1,1.486–5.960,32,180,20,0.0366708897649927,0.0148738630897894,0.0217970266752033,0.0103926496740399,0.0329072871176463,1095490
2,5.981–9.422,32,60,1,0.6264240528922252,0.6246064869315391,0.0018175659606861,-0.0029277977734079,0.0068777531729585,1105374
2,5.981–9.422,32,60,5,0.5459345864185146,0.5404051772088708,0.0055294092096437,-0.000450465292982,0.0117904870268988,1105374
2,5.981–9.422,32,60,10,0.4543169914117713,0.443335312061632,0.0109816793501392,0.0033165838484319,0.0190555675096868,1105374
2,5.981–9.422,32,60,20,0.3362926565246757,0.3198314692211488,0.0164611873035269,0.003175471567765,0.0313434758505394,1105374
2,5.981–9.422,32,90,1,0.5483354881241366,0.5502448232145275,-0.0019093350903909,-0.0065550452473586,0.0032072946808229,1105368
2,5.981–9.422,32,90,5,0.4425603502490513,0.4437739127505181,-0.0012135625014667,-0.0080363933178502,0.0060546619586686,1105368
