distance_group,summary,threshold_mm,lead_min,delta_csi,ci_low,ci_high,averaged_lead_count,averaged_threshold_count
1,threshold_lead_mean,1,,0.0057932928920231,0.0019521722812206,0.0097996683780866,5,1
1,threshold_lead_mean,5,,0.011227980183335,0.0042537074863614,0.0187363706930146,5,1
1,threshold_lead_mean,10,,0.0155840461973163,0.0094889275040541,0.0211612310388764,5,1
1,threshold_lead_mean,20,,0.0242679951415367,0.0108620452029306,0.0358164168453545,5,1
1,lead_threshold_mean,,60,0.0153334020595388,0.0077956492131161,0.0227763913263012,1,4
1,lead_threshold_mean,,90,0.0094874830039371,0.0028910992753742,0.0154710396468366,1,4
1,lead_threshold_mean,,120,0.0122338580811522,0.005706445929346,0.0178541507439691,1,4
1,lead_threshold_mean,,150,0.0172068427439411,0.0110145113835088,0.0225722059911112,1,4
1,lead_threshold_mean,,180,0.0168300571291947,0.0110097213521392,0.0220603967082362,1,4
1,macro_lead_threshold_mean,,,0.0142183286035528,0.0092731261781624,0.0185628588396459,5,4
2,threshold_lead_mean,1,,0.0015965948524086,-0.0027069625124462,0.006442600609755,5,1
2,threshold_lead_mean,5,,0.0044543589857686,-0.0018056294550093,0.0112118833737192,5,1
2,threshold_lead_mean,10,,0.0141616291092255,0.0073961157975134,0.0205320350888461,5,1
2,threshold_lead_mean,20,,0.0192800196016824,0.0085665928715511,0.0288120411205956,5,1
2,lead_threshold_mean,,60,0.008697460455999,0.0036344805296991,0.0138799602372834,1,4
2,lead_threshold_mean,,90,0.0053315297794572,-0.0016211159350264,0.0112261432545418,1,4
2,lead_threshold_mean,,120,0.0101536101586361,0.0037436060669935,0.0158436916011161,1,4
2,lead_threshold_mean,,150,0.0132294544576343,0.0074978722521765,0.0186844177725152,1,4
2,lead_threshold_mean,,180,0.0119536983346298,0.007327079397416,0.0163394835933725,1,4
2,macro_lead_threshold_mean,,,0.0098731506372713,0.0049126254580967,0.0143271476279199,5,4
3,threshold_lead_mean,1,,-0.0026059996174645,-0.0047760436301527,-0.0004210423893631,5,1
3,threshold_lead_mean,5,,0.0015219708320209,-0.0025440208225683,0.0057836726328711,5,1
3,threshold_lead_mean,10,,0.0105514084865192,0.0035710970864193,0.0170027841036853,5,1
3,threshold_lead_mean,20,,0.0210573764524728,0.0055292073941549,0.0345714416579488,5,1
3,lead_threshold_mean,,60,0.0056698380086813,0.0004667760944586,0.0101495980201356,1,4
3,lead_threshold_mean,,90,0.0041673671981659,-0.0009978129571399,0.0083955216137499,1,4
3,lead_threshold_mean,,120,0.0077495725187905,0.0001601958508961,0.0140670824735306,1,4
3,lead_threshold_mean,,150,0.0099246202950539,0.0023579081416114,0.0164619764223017,1,4
3,lead_threshold_mean,,180,0.0106445471712438,0.0041088443903334,0.0164237643649997,1,4
3,macro_lead_threshold_mean,,,0.0076311890383871,0.0023820314770835,0.0120156858009049,5,4
4,threshold_lead_mean,1,,-0.0022829391313082,-0.0046009095612769,0.0001155107157789,5,1
4,threshold_lead_mean,5,,-0.0002108975904649,-0.0042959858284863,0.004072393784287,5,1
4,threshold_lead_mean,10,,0.0074271119727606,0.0021418959968938,0.0126676329585631,5,1
4,threshold_lead_mean,20,,0.0142374519513963,0.004693755684316,0.0221451290560024,5,1
4,lead_threshold_mean,,60,0.0045125983504305,0.0003482413563917,0.0086504880534859,1,4
4,lead_threshold_mean,,90,0.0001922596926277,-0.0048455981812176,0.0045314746374838,1,4
4,lead_threshold_mean,,120,0.0017209410620945,-0.003175761079153,0.0058291177019288,1,4
4,lead_threshold_mean,,150,0.0083090377474726,0.0038694910031736,0.0119160641945764,1,4
4,lead_threshold_mean,,180,0.0092285721503542,0.0044390507898931,0.0134860192060243,1,4
4,macro_lead_threshold_mean,,,0.0047926818005959,0.001331614225295,0.0077729514756585,5,4
