metric_group,metric,route_key,route_label,lead_min,threshold_mm,point_estimate,ci_low,ci_high,bootstrap_valid_reps,bootstrap_reps
categorical,csi,pysteps,pySTEPS + Patch MLP,60,1,0.6221952335804158,0.591481477022171,0.6484762743115425,50000,50000
categorical,pod,pysteps,pySTEPS + Patch MLP,60,1,0.70819473157341,0.6769195780158043,0.7340609490871429,50000,50000
categorical,far,pysteps,pySTEPS + Patch MLP,60,1,0.1631868013484757,0.1481209091842174,0.1803245991468429,50000,50000
categorical,frequency_bias,pysteps,pySTEPS + Patch MLP,60,1,0.8463952199053396,0.8171783611178398,0.8709655597805976,50000,50000
categorical,csi,pysteps,pySTEPS + Patch MLP,60,5,0.4789079834309089,0.4461563073098659,0.5060902535915375,50000,50000
categorical,pod,pysteps,pySTEPS + Patch MLP,60,5,0.5812366502329177,0.543061050772667,0.612351955473423,50000,50000
categorical,far,pysteps,pySTEPS + Patch MLP,60,5,0.2683728989430034,0.2455601252615452,0.2932673789560794,50000,50000
categorical,frequency_bias,pysteps,pySTEPS + Patch MLP,60,5,0.7948584022319324,0.7523725494742394,0.8333154112100601,50000,50000
categorical,csi,pysteps,pySTEPS + Patch MLP,60,10,0.3544952123313102,0.323113016039133,0.380939195305109,50000,50000
categorical,pod,pysteps,pySTEPS + Patch MLP,60,10,0.4190824821396941,0.3824328489601612,0.450494584441185,50000,50000
categorical,far,pysteps,pySTEPS + Patch MLP,60,10,0.3030579946121075,0.2805500961840153,0.3308857321739197,50000,50000
categorical,frequency_bias,pysteps,pySTEPS + Patch MLP,60,10,0.6012772824782036,0.560197600722313,0.6389041617512703,50000,50000
categorical,csi,pysteps,pySTEPS + Patch MLP,60,20,0.1460332792813576,0.1151874519884586,0.1748654924333095,50000,50000
categorical,pod,pysteps,pySTEPS + Patch MLP,60,20,0.156212889992443,0.1229731231927871,0.1878086764365434,50000,50000
categorical,far,pysteps,pySTEPS + Patch MLP,60,20,0.3042888681389294,0.2634594976902008,0.3657604359090328,50000,50000
categorical,frequency_bias,pysteps,pySTEPS + Patch MLP,60,20,0.2250530785562632,0.186195883154869,0.2635798647999763,50000,50000
continuous,rmse,pysteps,pySTEPS + Patch MLP,60,,1.297312050204114,1.118703052401543,1.481509912014008,50000,50000
continuous,mean_bias,pysteps,pySTEPS + Patch MLP,60,,-0.0623469724851746,-0.08124183062464,-0.0465968079864978,50000,50000
continuous,correlation,pysteps,pySTEPS + Patch MLP,60,,0.7721989283414574,0.750864078104496,0.7888992995023727,50000,50000
categorical,csi,pysteps,pySTEPS + Patch MLP,90,1,0.5185547058345225,0.4827709458768368,0.5496251687407494,50000,50000
categorical,pod,pysteps,pySTEPS + Patch MLP,90,1,0.6132096339212033,0.5749305978417396,0.6451578944921493,50000,50000
categorical,far,pysteps,pySTEPS + Patch MLP,90,1,0.2291990821221913,0.2081164423376321,0.253676438331604,50000,50000
categorical,frequency_bias,pysteps,pySTEPS + Patch MLP,90,1,0.795697461070984,0.761084258556366,0.8248190879821777,50000,50000
categorical,csi,pysteps,pySTEPS + Patch MLP,90,5,0.3350847410676663,0.3001057431101799,0.3643512092530727,50000,50000
categorical,pod,pysteps,pySTEPS + Patch MLP,90,5,0.4138714430700112,0.3717448018491268,0.4487455256283283,50000,50000
categorical,far,pysteps,pySTEPS + Patch MLP,90,5,0.3611978544355946,0.3296000249683857,0.39725286886096,50000,50000
categorical,frequency_bias,pysteps,pySTEPS + Patch MLP,90,5,0.64858529625336,0.6016956940293312,0.6913462340831756,50000,50000
categorical,csi,pysteps,pySTEPS + Patch MLP,90,10,0.1624775307504226,0.1385498397052288,0.1841739721596241,50000,50000
