Route,Lead (min),RN60 CSI-M,CSI ≥1 mm,CSI ≥5 mm,CSI ≥10 mm,CSI ≥20 mm,RMSE (mm),Mean bias (mm),Correlation
pySTEPS + CNN,60,0.343894233754664,0.5942388421388212,0.4804398565114036,0.2847281973393724,0.0161700390290588,1.363924785907022,0.1122238571232701,0.7577415297109303
exPreCast + CNN,60,0.3883295419170631,0.5845774769952642,0.4769454573912604,0.3793618296498215,0.1124334036319065,1.334015978171244,0.2240278189770645,0.7550694600234019
Direct R2P,60,0.4797809632685175,0.6247593662096281,0.5322964924964135,0.4411746257312866,0.3208933686367415,1.18272372788543,0.0650086269057512,0.8115917666834825
pySTEPS + CNN,90,0.26280742806009,0.5168827342788659,0.3638415873793413,0.1668811439955121,0.0036242465866406,1.547275203291601,0.0936702271238996,0.6478140209216798
exPreCast + CNN,90,0.310291745149273,0.5423205648629632,0.4057034193533534,0.2608394968941048,0.0323034994866706,1.479320832200994,0.1694999241600694,0.6834136734827739
Direct R2P,90,0.3756548637287599,0.5540404411877473,0.4401250790484609,0.3295575941673169,0.1788963405115143,1.405588270663284,0.0471666452265227,0.7165314403200224
pySTEPS + CNN,120,0.2094773484337459,0.4559409231063656,0.280038702814282,0.1009607745542375,0.0009689932600985,1.676132318548325,0.0788629583970824,0.5517334611041478
exPreCast + CNN,120,0.2576374175015357,0.499098861782276,0.3403237408600931,0.1792267593768245,0.011900307986949,1.590546468698241,0.1454985636979062,0.615486607621298
Direct R2P,120,0.2979663511581988,0.4989350746461263,0.3695484087974052,0.2421491462507263,0.0812327749385375,1.557089100280621,0.0396231668435338,0.6334814774186655
pySTEPS + CNN,150,0.1725330085256914,0.4085369781585801,0.2191148352558688,0.0621926821302684,0.0002875385580479,1.766026704756595,0.067757736576816,0.4727839892519929
exPreCast + CNN,150,0.2232195809891538,0.4625767431566974,0.2923099561356184,0.1331326230456867,0.0048590016186129,1.668158958232518,0.1387361795681804,0.5590096846933008
Direct R2P,150,0.2440364135068661,0.4552714269590197,0.3140845615175318,0.1749351560302794,0.0318545095206335,1.662650168975244,0.0388163061586658,0.5651117438895213
pySTEPS + CNN,180,0.1463948288716352,0.3698693819368976,0.1736786842131877,0.0419953259251683,3.592341128713583e-05,1.828105051944779,0.0597784962889343,0.4109805137193151
exPreCast + CNN,180,0.1994456277981254,0.4325111058864027,0.2572199626237351,0.1053707880060089,0.0026806546763548,1.724213653419472,0.1370418192127231,0.513674908624065
Direct R2P,180,0.2065065209968026,0.4184516106918495,0.2678998554066794,0.126683035486575,0.0129915824021065,1.732529951809653,0.0526311623016333,0.5129967719041796
