route,route_label,member,replicate_id,upstream_seed,downstream_seed,lead_min,csi_m,rmse,mean_bias,correlation,mae,finite_pair_count,csi_1mm,csi_5mm,csi_10mm,csi_20mm
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,60,0.343196641230505,1.360966286867124,0.1244074560760314,0.7548090246917348,0.3598415032091056,4408654,0.5814952320707534,0.4865558494886879,0.2844659415836028,0.0202695417789757
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,90,0.2599294821009928,1.547827110984916,0.1000183765052234,0.6460005529941698,0.3920988765527581,4408626,0.5107145736630538,0.3676280587909579,0.1581411432979544,0.0032341526520051
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,120,0.2058995937126777,1.676160336865176,0.0799804275213062,0.5517649939887551,0.41511476259806,4408597,0.4538087886858816,0.2800240289122073,0.0891187267222207,0.000646830530401
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,150,0.1684079625958947,1.764469679590557,0.0637553512617961,0.4741890746786529,0.4320143624978177,4408572,0.4080880093417737,0.2146376543989737,0.0504746406292378,0.0004315460135936
pysteps_patch_cnn,pySTEPS + CNN,0,21040,,21040,180,0.1418326156665236,1.824391525214852,0.0511174935992478,0.4132849516808124,0.44482077204495,4408548,0.3704340186161909,0.1654315669939599,0.0314648770559436,0
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,60,0.3492697661502541,1.358743118081801,0.1151385131892026,0.7584263826476924,0.3597883909623194,4408654,0.597802288463125,0.4773312356979405,0.2982386438882267,0.0237068965517241
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,90,0.2674150570009558,1.544723970102653,0.0991627700305087,0.6476588899340097,0.3958138419705829,4408626,0.5191445873182935,0.3635413173416448,0.1804151835589389,0.0065591397849462
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,120,0.2134480052015172,1.676270266409172,0.0863888386164258,0.5505766249044212,0.4230377404393103,4408597,0.4559698532328441,0.2815394273021391,0.1142384105960264,0.0020443296750591
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,150,0.1759129071557351,1.768363441736502,0.0775317548709271,0.4708963639051014,0.4442244984805932,4408572,0.4076642124181112,0.2228426010331206,0.072821678592648,0.0003231365790607
pysteps_patch_cnn,pySTEPS + CNN,1,21041,,21041,180,0.1497203384353332,1.831922670050496,0.0713081478704181,0.4090535921661243,0.460980271569387,4408548,0.3686108261849219,0.1792513971727798,0.0509113601497698,0.0001077702338614
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,60,0.3392162938832329,1.372064952772141,0.0971256021045761,0.7599891817933636,0.3525343172815242,4408654,0.6034190058825851,0.4774324843475823,0.2714800065462877,0.0045336787564766
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,90,0.2610777450783212,1.549274528787234,0.0818295348359666,0.64978261983686,0.3874132430466362,4408626,0.52078904185525,0.3603553860054211,0.1620871051296429,0.0010794473229706
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,120,0.2090844463870428,1.675966352370626,0.0702196090535151,0.5528587644192671,0.4138246701019946,4408597,0.458044127400371,0.2785526522284997,0.0995251863444653,0.0002158195748354
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,150,0.1732781558254441,1.765246992942727,0.0619861035977247,0.4732665291722245,0.4345502819533437,4408572,0.4098587127158555,0.2198642503355121,0.0632817271689194,0.0001079330814894
pysteps_patch_cnn,pySTEPS + CNN,2,21042,,21042,180,0.1476315325130487,1.828000960568992,0.0569098473971369,0.4106029973110085,0.4516030267460287,4408548,0.3705633010095798,0.1763530884728235,0.0436097405697915,0
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,60,0.3842943799927127,1.33911786554944,0.217075312577211,0.7513487228449656,0.4167277669746957,4408654,0.5792878971889712,0.4713524683882005,0.3839891176351159,0.102548036758563
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,90,0.3108250467550946,1.480198295501659,0.163491008334438,0.6805687797403622,0.4256299368409356,4408626,0.5380498185770932,0.4085344654065033,0.2690798486150131,0.0276360544217687
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,120,0.260184765752176,1.589988998454088,0.1393793614483725,0.6134955727352236,0.440556242198714,4408597,0.49635369878013,0.3451853513543828,0.1880758284694419,0.0111241844047491
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,150,0.2259624224356343,1.667769804612102,0.1322055942949373,0.5575979567179036,0.4571327646950516,4408572,0.4606457008737546,0.2975136761742005,0.141505763338359,0.0041845493562231
exprecast_patch_cnn,exPreCast + CNN,0,21040,6455,21040,180,0.2010920346529474,1.723570263189575,0.1291419870073346,0.5132328419134026,0.4719332571792834,4408548,0.4306989042250855,0.2618777183699476,0.1096437496937325,0.002147766323024
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,60,0.3955826017701171,1.33330969712259,0.2441356253512104,0.7560795436086358,0.4351234605198021,4408654,0.5786404085575595,0.4797445854989933,0.387517846216602,0.1364275668073136
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,90,0.316077574049385,1.477474190637916,0.1854167453757857,0.6826278773373107,0.4442184100548402,4408626,0.5407368967306694,0.4088762384763907,0.2745831527565521,0.040114008233928
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,120,0.2608616955307862,1.589739459030008,0.1574102888956686,0.6148918384607429,0.4594113282953089,4408597,0.4983850517801449,0.3431810923027786,0.1876010131467856,0.0142796248934356
exprecast_patch_cnn,exPreCast + CNN,1,21041,6455,21041,150,0.2270011755600585,1.668181957699531,0.1499589813238749,0.5584873979821341,0.4763387858483821,4408572,0.4629386211230279,0.295831620641979,0.1419609552875066,0.0072735051877206
