Route,Lead (min),RN60 threshold (mm),POD,FAR,Frequency bias,Hit,Miss,False alarm,Correct negative,Finite pairs
pySTEPS + Patch MLP,60,1,0.7082 ± 0.0078,0.1632 ± 0.0073,0.8464 ± 0.0166,166486.7 ± 1844.3,68599.3 ± 1844.3,32489.0 ± 2067.7,4141079.0 ± 2067.7,4408654
pySTEPS + Patch MLP,60,5,0.5812 ± 0.0117,0.2684 ± 0.0146,0.7949 ± 0.0314,45625.3 ± 919.0,32871.7 ± 919.0,16768.7 ± 1550.0,4313388.3 ± 1550.0,4408654
pySTEPS + Patch MLP,60,10,0.4191 ± 0.0090,0.3031 ± 0.0045,0.6013 ± 0.0090,14196.0 ± 305.1,19678.0 ± 305.1,6171.7 ± 3.1,4368608.3 ± 3.1,4408654
pySTEPS + Patch MLP,60,20,0.1562 ± 0.0209,0.3043 ± 0.0347,0.2251 ± 0.0339,1447.0 ± 193.3,7816.0 ± 193.3,637.7 ± 142.0,4398753.3 ± 142.0,4408654
pySTEPS + Patch MLP,90,1,0.6132 ± 0.0098,0.2292 ± 0.0082,0.7957 ± 0.0210,144157.0 ± 2301.4,90929.0 ± 2301.4,42900.3 ± 2643.7,4130639.7 ± 2643.7,4408626
pySTEPS + Patch MLP,90,5,0.4139 ± 0.0184,0.3612 ± 0.0153,0.6486 ± 0.0439,32487.7 ± 1448.3,46009.3 ± 1448.3,18424.3 ± 1995.2,4311704.7 ± 1995.2,4408626
pySTEPS + Patch MLP,90,10,0.1854 ± 0.0079,0.4320 ± 0.0086,0.3263 ± 0.0092,6279.3 ± 266.8,27594.7 ± 266.8,4772.3 ± 61.2,4369979.7 ± 61.2,4408626
pySTEPS + Patch MLP,90,20,0.0284 ± 0.0066,0.4641 ± 0.0140,0.0532 ± 0.0128,263.3 ± 61.5,8999.7 ± 61.5,229.0 ± 57.3,4399134.0 ± 57.3,4408626
pySTEPS + Patch MLP,120,1,0.5375 ± 0.0105,0.2827 ± 0.0084,0.7495 ± 0.0232,126352.7 ± 2466.0,108733.3 ± 2466.0,49834.0 ± 2998.9,4123677.0 ± 2998.9,4408597
pySTEPS + Patch MLP,120,5,0.2730 ± 0.0166,0.4390 ± 0.0143,0.4873 ± 0.0417,21431.3 ± 1302.0,57065.7 ± 1302.0,16824.0 ± 1975.5,4313276.0 ± 1975.5,4408597
pySTEPS + Patch MLP,120,10,0.0622 ± 0.0053,0.5627 ± 0.0147,0.1420 ± 0.0073,2105.3 ± 180.8,31768.7 ± 180.8,2703.7 ± 66.3,4372019.3 ± 66.3,4408597
pySTEPS + Patch MLP,120,20,0.0023 ± 0.0010,0.6352 ± 0.0089,0.0062 ± 0.0027,21.0 ± 8.9,9242.0 ± 8.9,36.7 ± 16.1,4399297.3 ± 16.1,4408597
pySTEPS + Patch MLP,150,1,0.4749 ± 0.0090,0.3264 ± 0.0059,0.7051 ± 0.0193,111640.0 ± 2117.3,123446.0 ± 2117.3,54113.7 ± 2428.1,4119372.3 ± 2428.1,4408572
pySTEPS + Patch MLP,150,5,0.1729 ± 0.0119,0.5123 ± 0.0107,0.3550 ± 0.0322,13573.3 ± 930.9,64923.7 ± 930.9,14296.7 ± 1599.5,4315778.3 ± 1599.5,4408572
pySTEPS + Patch MLP,150,10,0.0232 ± 0.0028,0.6557 ± 0.0158,0.0673 ± 0.0055,786.3 ± 94.7,33087.7 ± 94.7,1493.3 ± 99.2,4373204.7 ± 99.2,4408572
pySTEPS + Patch MLP,150,20,0.0005 ± 0.0006,0.8482 ± 0.1342,0.0023 ± 0.0014,4.3 ± 5.8,9258.7 ± 5.8,17.0 ± 7.5,4399292.0 ± 7.5,4408572
pySTEPS + Patch MLP,180,1,0.4205 ± 0.0051,0.3633 ± 0.0044,0.6604 ± 0.0123,98847.7 ± 1198.6,136238.3 ± 1198.6,56414.0 ± 1719.8,4117048.0 ± 1719.8,4408548
pySTEPS + Patch MLP,180,5,0.1115 ± 0.0069,0.5770 ± 0.0086,0.2637 ± 0.0213,8748.7 ± 537.8,69748.3 ± 537.8,11953.0 ± 1140.2,4318098.0 ± 1140.2,4408548
pySTEPS + Patch MLP,180,10,0.0107 ± 0.0019,0.7136 ± 0.0256,0.0377 ± 0.0075,364.0 ± 64.5,33510.0 ± 64.5,914.3 ± 199.6,4373759.7 ± 199.6,4408548
pySTEPS + Patch MLP,180,20,0.0001 ± 0.0001,0.8290 ± 0.0703,0.0009 ± 0.0003,1.3 ± 0.6,9261.7 ± 0.6,7.0 ± 3.0,4399278.0 ± 3.0,4408548
exPreCast + Patch MLP,60,1,0.7252 ± 0.0087,0.1628 ± 0.0075,0.8663 ± 0.0182,170490.3 ± 2036.3,64595.7 ± 2036.3,33167.0 ± 2243.2,4140401.0 ± 2243.2,4408654
exPreCast + Patch MLP,60,5,0.6196 ± 0.0268,0.3068 ± 0.0235,0.8953 ± 0.0683,48634.3 ± 2103.7,29862.7 ± 2103.7,21645.7 ± 3254.2,4308511.3 ± 3254.2,4408654
exPreCast + Patch MLP,60,10,0.4812 ± 0.0658,0.3826 ± 0.0521,0.7888 ± 0.1670,16301.3 ± 2229.3,17572.7 ± 2229.3,10419.3 ± 3432.4,4364360.7 ± 3432.4,4408654
exPreCast + Patch MLP,60,20,0.2449 ± 0.1120,0.3557 ± 0.0904,0.4011 ± 0.2238,2268.7 ± 1037.4,6994.3 ± 1037.4,1446.3 ± 1047.0,4397944.7 ± 1047.0,4408654
exPreCast + Patch MLP,90,1,0.6406 ± 0.0029,0.1975 ± 0.0020,0.7983 ± 0.0056,150600.3 ± 686.9,84485.7 ± 686.9,37061.0 ± 630.8,4136479.0 ± 630.8,4408626
exPreCast + Patch MLP,90,5,0.4996 ± 0.0188,0.3682 ± 0.0119,0.7914 ± 0.0441,39220.3 ± 1473.0,39276.7 ± 1473.0,22902.7 ± 1992.7,4307226.3 ± 1992.7,4408626
exPreCast + Patch MLP,90,10,0.3176 ± 0.0469,0.4553 ± 0.0262,0.5866 ± 0.1120,10758.0 ± 1587.8,23116.0 ± 1587.8,9113.7 ± 2211.7,4365638.3 ± 2211.7,4408626
exPreCast + Patch MLP,90,20,0.0947 ± 0.0503,0.4317 ± 0.0746,0.1763 ± 0.1105,877.0 ± 466.3,8386.0 ± 466.3,755.7 ± 561.5,4398607.3 ± 561.5,4408626
exPreCast + Patch MLP,120,1,0.5733 ± 0.0068,0.2305 ± 0.0048,0.7451 ± 0.0135,134782.0 ± 1605.9,100304.0 ± 1605.9,40381.3 ± 1574.5,4133129.7 ± 1574.5,4408597
exPreCast + Patch MLP,120,5,0.3969 ± 0.0114,0.4056 ± 0.0044,0.6678 ± 0.0239,31151.7 ± 898.8,47345.3 ± 898.8,21268.7 ± 985.0,4308831.3 ± 985.0,4408597
exPreCast + Patch MLP,120,10,0.1688 ± 0.0283,0.5047 ± 0.0145,0.3420 ± 0.0667,5717.3 ± 959.8,28156.7 ± 959.8,5869.0 ± 1302.0,4368854.0 ± 1302.0,4408597
exPreCast + Patch MLP,120,20,0.0264 ± 0.0162,0.4873 ± 0.0610,0.0542 ± 0.0364,244.3 ± 150.4,9018.7 ± 150.4,257.3 ± 186.6,4399076.7 ± 186.6,4408597
exPreCast + Patch MLP,150,1,0.5221 ± 0.0072,0.2601 ± 0.0038,0.7057 ± 0.0132,122742.3 ± 1698.7,112343.7 ± 1698.7,43156.3 ± 1430.4,4130329.7 ± 1430.4,4408572
exPreCast + Patch MLP,150,5,0.3068 ± 0.0077,0.4497 ± 0.0024,0.5575 ± 0.0122,24081.0 ± 605.3,54416.0 ± 605.3,19680.0 ± 366.0,4310395.0 ± 366.0,4408572
exPreCast + Patch MLP,150,10,0.0786 ± 0.0120,0.5692 ± 0.0081,0.1829 ± 0.0310,2664.0 ± 406.9,31210.0 ± 406.9,3532.0 ± 642.8,4371166.0 ± 642.8,4408572
exPreCast + Patch MLP,150,20,0.0056 ± 0.0035,0.5451 ± 0.1739,0.0148 ± 0.0107,51.7 ± 32.7,9211.3 ± 32.7,85.3 ± 66.9,4399223.7 ± 66.9,4408572
exPreCast + Patch MLP,180,1,0.4809 ± 0.0075,0.2860 ± 0.0044,0.6736 ± 0.0146,113052.7 ± 1763.1,122033.3 ± 1763.1,45298.0 ± 1679.3,4128164.0 ± 1679.3,4408548
exPreCast + Patch MLP,180,5,0.2327 ± 0.0044,0.4850 ± 0.0067,0.4520 ± 0.0135,18267.7 ± 343.6,60229.3 ± 343.6,17210.0 ± 732.3,4312841.0 ± 732.3,4408548
exPreCast + Patch MLP,180,10,0.0293 ± 0.0030,0.6327 ± 0.0137,0.0799 ± 0.0105,991.3 ± 102.8,32882.7 ± 102.8,1714.0 ± 254.8,4372960.0 ± 254.8,4408548
exPreCast + Patch MLP,180,20,0.0016 ± 0.0009,0.6119 ± 0.1163,0.0045 ± 0.0028,14.7 ± 8.5,9248.3 ± 8.5,27.3 ± 18.7,4399257.7 ± 18.7,4408548
Direct R2P,60,1,0.8030 ± 0.0181,0.2619 ± 0.0077,1.0882 ± 0.0344,188774.0 ± 4253.6,46312.0 ± 4253.6,67049.3 ± 4008.5,4106518.7 ± 4008.5,4408654
Direct R2P,60,5,0.7059 ± 0.0183,0.3161 ± 0.0099,1.0322 ± 0.0218,55412.3 ± 1434.5,23084.7 ± 1434.5,25609.3 ± 938.9,4304547.7 ± 938.9,4408654
Direct R2P,60,10,0.5957 ± 0.0363,0.3695 ± 0.0061,0.9452 ± 0.0645,20178.0 ± 1231.1,13696.0 ± 1231.1,11838.3 ± 970.5,4362941.7 ± 970.5,4408654
Direct R2P,60,20,0.4288 ± 0.0641,0.4279 ± 0.0515,0.7598 ± 0.1738,3971.7 ± 593.7,5291.3 ± 593.7,3066.7 ± 1017.7,4396324.3 ± 1017.7,4408654
Direct R2P,90,1,0.7664 ± 0.0099,0.3334 ± 0.0099,1.1499 ± 0.0217,180179.7 ± 2327.3,54906.3 ± 2327.3,90151.0 ± 4084.8,4083389.0 ± 4084.8,4408626
Direct R2P,90,5,0.6054 ± 0.0131,0.3824 ± 0.0214,0.9812 ± 0.0485,47520.0 ± 1026.6,30977.0 ± 1026.6,29501.0 ± 3062.3,4300628.0 ± 3062.3,4408626
Direct R2P,90,10,0.4513 ± 0.0216,0.4498 ± 0.0106,0.8205 ± 0.0444,15288.7 ± 731.3,18585.3 ± 731.3,12506.3 ± 853.8,4362245.7 ± 853.8,4408626
Direct R2P,90,20,0.2262 ± 0.0516,0.5206 ± 0.0436,0.4809 ± 0.1489,2095.7 ± 478.0,7167.3 ± 478.0,2359.0 ± 901.8,4397004.0 ± 901.8,4408626
Direct R2P,120,1,0.7324 ± 0.0153,0.3897 ± 0.0064,1.2002 ± 0.0340,172173.7 ± 3601.6,62912.3 ± 3601.6,109982.3 ± 4679.8,4063528.7 ± 4679.8,4408597
Direct R2P,120,5,0.5219 ± 0.0248,0.4400 ± 0.0211,0.9340 ± 0.0788,40971.3 ± 1947.9,37525.7 ± 1947.9,32347.3 ± 4262.0,4297752.7 ± 4262.0,4408597
Direct R2P,120,10,0.3286 ± 0.0258,0.5196 ± 0.0119,0.6847 ± 0.0603,11131.7 ± 872.5,22742.3 ± 872.5,12060.3 ± 1226.6,4362662.7 ± 1226.6,4408597
Direct R2P,120,20,0.0947 ± 0.0348,0.6187 ± 0.0059,0.2483 ± 0.0916,877.3 ± 321.9,8385.7 ± 321.9,1423.0 ± 527.2,4397911.0 ± 527.2,4408597
Direct R2P,150,1,0.7066 ± 0.0237,0.4381 ± 0.0121,1.2585 ± 0.0700,166107.3 ± 5578.1,68978.7 ± 5578.1,129740.3 ± 10869.0,4043745.7 ± 10869.0,4408572
Direct R2P,150,5,0.4527 ± 0.0343,0.4916 ± 0.0175,0.8927 ± 0.0964,35537.0 ± 2691.4,42960.0 ± 2691.4,34541.0 ± 4885.7,4295534.0 ± 4885.7,4408572
