Route,Lead (min),RN60 CSI-M,CSI ≥1 mm,CSI ≥5 mm,CSI ≥10 mm,CSI ≥20 mm,RMSE (mm),Mean bias (mm),Correlation
pySTEPS + Patch MLP,60,0.4004,0.6222,0.4789,0.3545,0.146,1.297,-0.062,0.772
exPreCast + Patch MLP,60,0.4237,0.6355,0.4855,0.3669,0.2069,1.275,-0.039,0.776
Direct R2P,60,0.4798,0.6248,0.5323,0.4412,0.3209,1.183,0.065,0.812
pySTEPS + Patch MLP,90,0.261,0.5186,0.3351,0.1625,0.0277,1.569,-0.097,0.633
exPreCast + Patch MLP,90,0.3189,0.5534,0.3867,0.2494,0.086,1.482,-0.07,0.676
Direct R2P,90,0.3757,0.554,0.4401,0.3296,0.1789,1.406,0.047,0.717
pySTEPS + Patch MLP,120,0.182,0.4434,0.2247,0.0576,0.0023,1.721,-0.123,0.524
exPreCast + Patch MLP,120,0.2426,0.4893,0.3122,0.1434,0.0255,1.617,-0.1,0.597
Direct R2P,120,0.298,0.4989,0.3695,0.2421,0.0812,1.557,0.04,0.633
pySTEPS + Patch MLP,150,0.1387,0.386,0.1462,0.0222,0.0005,1.807,-0.14,0.444
exPreCast + Patch MLP,150,0.1908,0.4411,0.2453,0.0711,0.0055,1.709,-0.121,0.531
Direct R2P,150,0.244,0.4553,0.3141,0.1749,0.0319,1.663,0.039,0.565
pySTEPS + Patch MLP,180,0.1116,0.3391,0.0967,0.0105,0.0001,1.857,-0.153,0.387
exPreCast + Patch MLP,180,0.1559,0.4032,0.1909,0.0278,0.0016,1.769,-0.137,0.482
Direct R2P,180,0.2065,0.4185,0.2679,0.1267,0.013,1.733,0.053,0.513
